year,quarter,country,sex,age,pesel,iso3c,iso3c_grok,ukr
2017,4,AFGANISTAN,1,to 17,15,AFG,AFG,
2017,4,AFGANISTAN,1,18-64,227,AFG,AFG,
2017,4,AFGANISTAN,2,to 17,11,AFG,AFG,
2017,4,AFGANISTAN,2,18-59,52,AFG,AFG,
2017,4,AFGANISTAN,2,60+,11,AFG,AFG,
2017,4,AFGANISTAN,1,65+,29,AFG,AFG,
2017,4,ALBANIA,1,18-64,371,ALB,ALB,
2017,4,ALBANIA,2,18-59,136,ALB,ALB,
2017,4,ALBANIA,1,to 17,5,ALB,ALB,
2017,4,ALBANIA,1,65+,2,ALB,ALB,
2017,4,ALBANIA,2,60+,4,ALB,ALB,
2017,4,ALBANIA,2,to 17,2,ALB,ALB,
2017,4,ALGIERIA,1,18-64,685,DZA,DZA,
2017,4,ALGIERIA,2,18-59,37,DZA,DZA,
2017,4,ALGIERIA,2,60+,5,DZA,DZA,
2017,4,ALGIERIA,1,65+,38,DZA,DZA,
2017,4,ALGIERIA,2,to 17,5,DZA,DZA,
2017,4,ALGIERIA,1,to 17,3,DZA,DZA,
2017,4,ANDORA,2,18-59,1,AND,AND,
2017,4,ANGOLA,1,18-64,153,AGO,AGO,
2017,4,ANGOLA,2,18-59,99,AGO,AGO,
2017,4,ANGOLA,2,60+,1,AGO,AGO,
2017,4,ANGOLA,1,to 17,4,AGO,AGO,
2017,4,ANGOLA,2,to 17,4,AGO,AGO,
2017,4,ANGOLA,1,65+,1,AGO,AGO,
2017,4,ARABIA SAUDYJSKA,1,to 17,14,SAU,SAU,
2017,4,ARABIA SAUDYJSKA,1,18-64,673,SAU,SAU,
2017,4,ARABIA SAUDYJSKA,2,to 17,16,SAU,SAU,
2017,4,ARABIA SAUDYJSKA,2,18-59,222,SAU,SAU,
2017,4,ARABIA SAUDYJSKA,1,65+,13,SAU,SAU,
2017,4,ARABIA SAUDYJSKA,2,60+,5,SAU,SAU,
2017,4,ARGENTYNA,1,18-64,138,ARG,ARG,
2017,4,ARGENTYNA,2,18-59,88,ARG,ARG,
2017,4,ARGENTYNA,2,60+,10,ARG,ARG,
2017,4,ARGENTYNA,1,65+,7,ARG,ARG,
2017,4,ARGENTYNA,2,to 17,5,ARG,ARG,
2017,4,ARGENTYNA,1,to 17,8,ARG,ARG,
2017,4,ARMENIA,1,to 17,198,ARM,ARM,
