year,sex,age,citizenship,count
2022,m,19,UKR,10098
2022,f,32,UKR,32406
2022,f,41,UKR,30483
2022,f,25,UKR,31401
2022,f,28,UKR,30841
2022,f,37,UKR,34739
2022,f,40,UKR,31592
2022,f,55,IND,20
2022,f,39,UKR,34899
2022,f,44,BLR,1191
2022,f,55,UKR,15568
2022,m,45,IND,434
2022,m,44,IDN,87
2022,m,34,UKR,30541
2022,f,83,ARM,10
2022,f,23,UKR,28307
2022,f,1,UKR,14472
2022,f,30,UKR,31740
2022,m,25,UKR,29671
2022,m,30,UKR,30590
2022,m,4,UKR,17174
2022,f,31,UKR,31958
2022,m,41,IND,749
2022,m,22,UKR,21899
2022,m,30,BLR,4639
2022,f,54,UKR,16728
2022,f,33,UKR,33186
2022,m,41,UKR,24215
2022,f,46,UKR,27219
2022,f,2,UKR,16199
2022,m,40,UKR,25324
2022,f,8,UKR,21807
2022,f,6,UKR,19500
2022,f,59,UKR,12650
2022,m,36,UKR,30410
2022,f,63,NLD,16
2022,m,11,UKR,21095
2022,f,10,UKR,22216
2022,f,27,RUS,543
2022,m,58,UKR,6789
2022,m,35,UKR,30357
2022,m,5,UKR,18468
2022,m,42,UKR,23969
2022,f,45,UKR,27608
2022,m,22,BLR,2939
2022,m,6,UKR,19836
2022,f,21,UKR,25941
2022,f,0,UKR,8072
2022,f,17,UKR,20109
2022,f,5,UKR,18268
2022,m,38,ROU,339
2022,f,16,UKR,20435
2022,m,48,UKR,18724
2022,m,26,UKR,31139
2022,f,29,UKR,31047
2022,m,43,UKR,22845
2022,f,19,UKR,24225
2022,m,65,UKR,3295
2022,m,37,UKR,28392
2022,m,60,UNKNOWN,121
2022,m,33,RUS,763
2022,f,24,UKR,30177
2022,f,51,UKR,21225
2022,m,29,UKR,30608
2022,m,21,KAZ,199
2022,m,61,UKR,6748
2022,f,34,UKR,34900
2022,f,18,UKR,22342
2022,f,52,UKR,19745
2022,m,56,BLR,1029
2022,m,35,BLR,5156
2022,m,33,UKR,29767
2022,m,23,UKR,23938
2022,m,27,UKR,30906
2022,f,44,CZE,57
2022,m,26,IDN,256
2022,f,2,IND,123
2022,m,69,UKR,1591
2022,f,50,UKR,22906
2022,m,20,UKR,13610
2022,m,8,UKR,22487
2022,m,48,CHN,245
2022,m,12,UKR,20321
2022,f,14,UKR,21066
2022,m,28,ETH,83
2022,f,20,UKR,24953
2022,m,32,UKR,29833
2022,f,38,UKR,34766
2022,m,9,UKR,22051
2022,m,30,HUN,82
2022,m,7,UKR,20875
2022,f,59,FRA,41
2022,f,49,UKR,22996
2022,f,26,BLR,2517
2022,m,45,UKR,21032
2022,m,24,UKR,27148
2022,f,47,SWE,59
2022,m,57,UKR,7778
2022,m,56,UKR,9114
2022,f,26,LVA,23
2022,f,25,PER,10
2022,f,63,UKR,9299
2022,m,55,JPN,80
2022,f,26,UKR,31683
2022,f,27,UKR,31315
2022,f,36,BLR,1921
2022,f,62,UKR,10470
2022,m,70,UKR,1472
2022,m,35,SWE,65
2022,f,22,UKR,27799
2022,m,44,UZB,267
2022,m,54,CZE,68
2022,f,42,UKR,30280
2022,m,44,UKR,22107
2022,m,53,AUT,70
2022,f,66,UKR,6675
2022,f,64,UKR,8650
2022,m,13,UKR,20890
2022,m,46,SVK,84
2022,m,24,BLR,3790
2022,f,9,UKR,21663
2022,f,70,UKR,4295
2022,f,15,UKR,20356
2022,f,43,UKR,29443
2022,m,54,UKR,11482
2022,m,52,UKR,14785
2022,m,3,UKR,16712
2022,f,67,UNKNOWN,176
2022,m,49,UKR,17628
2022,f,75,SWE,64
2022,m,58,GBR,225
2022,m,25,BLR,4107
2022,m,52,DEU,698
2022,f,75,UKR,2094
2022,f,35,UKR,35290
2022,m,60,UKR,6664
2022,m,21,TUR,496
2022,m,15,UKR,19037
2022,m,51,UKR,16156
2022,m,21,KOSOVO,24
