country,sex,pesel
AFGAŃSKIE,f,343
AFGAŃSKIE,m,809
ALBAŃSKIE,f,487
ALBAŃSKIE,m,2215
ALGIERSKIE,m,2619
ALGIERSKIE,f,314
AMERYKAŃSKIE,m,8851
AMERYKAŃSKIE,f,5104
ANDORSKIE,m,6
ANDORSKIE,f,6
ANGOLSKIE,m,321
ANGOLSKIE,f,203
ANTIGUAŃSKO-BARBUDZKIE,f,4
ANTIGUAŃSKO-BARBUDZKIE,m,4
ARGENTYŃSKIE,m,1456
ARGENTYŃSKIE,f,535
ARMEŃSKIE,m,6304
ARMEŃSKIE,f,3311
AUSTRALIJSKIE,m,819
AUSTRALIJSKIE,f,390
AUSTRIACKIE,m,3784
AUSTRIACKIE,f,3180
AZERBEJDŻAŃSKIE,f,2520
AZERBEJDŻAŃSKIE,m,11991
BAHAMSKIE,f,3
BAHAMSKIE,m,6
BAHRAŃSKIE,f,9
BAHRAŃSKIE,m,18
BANGLADESKIE,m,9499
BANGLADESKIE,f,719
BARBADOSKIE,f,2
BARBADOSKIE,m,5
BELGIJSKIE,f,766
BELGIJSKIE,m,2975
BELIZEŃSKIE,f,2
BELIZEŃSKIE,m,8
BENIŃSKIE,f,7
BENIŃSKIE,m,23
BEZPAŃSTWOWIEC,m,727
BEZPAŃSTWOWIEC,f,757
BHUTAŃSKIE,f,15
BHUTAŃSKIE,m,5
BIAŁORUSKIE,m,182850
BIAŁORUSKIE,f,87017
BOLIWIJSKIE,f,96
BOLIWIJSKIE,m,146
BOTSWAŃSKIE,f,21
BOTSWAŃSKIE,m,10
BOŚNIACKO-HERCEGOWIŃSKIE,m,772
BOŚNIACKO-HERCEGOWIŃSKIE,f,145
BRAZYLIJSKIE,m,2451
BRAZYLIJSKIE,f,1665
BRUNEJSKIE,f,2
BRUNEJSKIE,m,5
BRYTYJSKIE,m,10386
BRYTYJSKIE,f,2688
BURKIŃSKIE,f,10
BURKIŃSKIE,m,25
BURUNDYJSKIE,f,81
BURUNDYJSKIE,m,92
BUŁGARSKIE,m,8060
BUŁGARSKIE,f,4627
CHILIJSKIE,f,135
CHILIJSKIE,m,324
CHIŃSKIE,f,9827
CHIŃSKIE,m,13898
CHORWACKIE,m,1362
CHORWACKIE,f,602
CYPRYJSKIE,m,265
CYPRYJSKIE,f,112
CZADYJSKIE,m,25
CZADYJSKIE,f,5
CZARNOGÓRSKIE,m,206
CZARNOGÓRSKIE,f,96
CZECHOSŁOWACKIE,m,61
CZECHOSŁOWACKIE,f,61
CZESKIE,m,4644
CZESKIE,f,2355
DOMINICKIE,m,31
DOMINICKIE,f,10
DOMINIKAŃSKIE,f,80
DOMINIKAŃSKIE,m,106
DUŃSKIE,m,2427
DUŃSKIE,f,916
DŻIBUTYJSKIE,m,8
DŻIBUTYJSKIE,f,5
EGIPSKIE,m,3966
EGIPSKIE,f,649
EKWADORSKIE,m,230
EKWADORSKIE,f,146
EMIRACKIE,m,33
EMIRACKIE,f,11
ERYTREJSKIE,f,16
ERYTREJSKIE,m,44
ESTOŃSKIE,m,754
ESTOŃSKIE,f,370
ETIOPSKIE,f,894
ETIOPSKIE,m,1927
FIDŻYJSKIE,f,2
FIDŻYJSKIE,m,4
FILIPIŃSKIE,m,15083
FILIPIŃSKIE,f,9556
FIŃSKIE,f,795
FIŃSKIE,m,1417
FRANCUSKIE,m,10623
FRANCUSKIE,f,4322
GABOŃSKIE,m,10
GABOŃSKIE,f,13
GAMBIJSKIE,m,150
GAMBIJSKIE,f,21
GHAŃSKIE,m,609
GHAŃSKIE,f,180
GRECKIE,f,1415
GRECKIE,m,2948
GRENADYJSKIE,f,3
GRENADYJSKIE,m,11
GRUZIŃSKIE,m,77682
GRUZIŃSKIE,f,17223
GUJAŃSKIE,f,3
GUJAŃSKIE,m,10
GWATEMALSKIE,f,206
GWATEMALSKIE,m,546
GWINEA BISSAU,f,5
GWINEA BISSAU,m,12
GWINEA RÓWNIKOWA,m,5
GWINEA RÓWNIKOWA,f,4
GWINEJSKIE,m,118
GWINEJSKIE,f,32
HAITAŃSKIE,f,23
HAITAŃSKIE,m,31
HISZPAŃSKIE,m,8872
HISZPAŃSKIE,f,4758
HOLENDERSKIE,f,2137
HOLENDERSKIE,m,6045
HONDURASKIE,m,74
HONDURASKIE,f,39
HONGKONG,f,3
HONGKONG,m,3
INDONEZYJSKIE,m,9426
INDONEZYJSKIE,f,2983
INDYJSKIE,m,43025
INDYJSKIE,f,10460
INNE KRAJE,m,28
INNE KRAJE,f,36
IRACKIE,m,1549
IRACKIE,f,410
IRAŃSKIE,f,1127
IRAŃSKIE,m,1707
IRLANDZKIE,m,2131
IRLANDZKIE,f,669
ISLANDZKIE,m,85
ISLANDZKIE,f,27
IZRAELSKIE,m,1736
IZRAELSKIE,f,681
JAMAJSKIE,m,49
JAMAJSKIE,f,31
JAPOŃSKIE,m,2880
JAPOŃSKIE,f,1996
JEMEŃSKIE,m,373
JEMEŃSKIE,f,133
JORDAŃSKIE,f,209
JORDAŃSKIE,m,951
JUGOSŁOWIAŃSKIE,f,71
JUGOSŁOWIAŃSKIE,m,134
KAMBODŻAŃSKIE,f,32
KAMBODŻAŃSKIE,m,34
KAMERUŃSKIE,f,270
KAMERUŃSKIE,m,527
KANADYJSKIE,m,1642
KANADYJSKIE,f,1030
KATARSKIE,m,14
KATARSKIE,f,3
KAZACHSKIE,m,8748
KAZACHSKIE,f,6630
KENIJSKIE,m,941
KENIJSKIE,f,720
KIRGISKIE,m,5755
KIRGISKIE,f,1787
KIRIBACKIE,m,3
KOLUMBIJSKIE,m,24471
KOLUMBIJSKIE,f,9994
KOMORYJSKIE,m,55
KOMORYJSKIE,f,17
KONGIJSKIE (DEMOKRATYCZNA REPUBLIKA KONGA),f,168
KONGIJSKIE (DEMOKRATYCZNA REPUBLIKA KONGA),m,288
KONGIJSKIE (KONGO),m,310
KONGIJSKIE (KONGO),f,164
KOSOWSKIE,f,178
KOSOWSKIE,m,1252
KOSTARYKAŃSKIE,m,246
KOSTARYKAŃSKIE,f,141
KUBAŃSKIE,f,355
KUBAŃSKIE,m,804
KUWEJCKIE,m,65
KUWEJCKIE,f,4
LANKIJSKIE,m,2457
LANKIJSKIE,f,442
LAOTAŃSKIE,f,18
LAOTAŃSKIE,m,40
LESOTYJSKIE,m,7
LESOTYJSKIE,f,5
LIBAŃSKIE,m,1004
LIBAŃSKIE,f,250
LIBERYJSKIE,m,23
LIBERYJSKIE,f,6
LIBIJSKIE,f,158
LIBIJSKIE,m,479
LIECHTENSTEINU,m,8
LIECHTENSTEINU,f,1
LITEWSKIE,m,5023
LITEWSKIE,f,3312
LUKSEMBURSKIE,m,100
LUKSEMBURSKIE,f,35
MACEDOŃSKIE,f,176
MACEDOŃSKIE,m,511
MADAGASKARSKIE,f,50
MADAGASKARSKIE,m,41
MALAWIJSKIE,f,23
MALAWIJSKIE,m,34
MALEDIWSKIE,m,9
MALEDIWSKIE,f,1
MALEZYJSKIE,f,460
MALEZYJSKIE,m,418
MALIJSKIE,m,62
MALIJSKIE,f,23
MALTAŃSKIE,f,53
MALTAŃSKIE,m,162
MAROKAŃSKIE,m,2220
MAROKAŃSKIE,f,639
MAURETAŃSKIE,f,7
MAURETAŃSKIE,m,15
MAURYTYJSKIE,m,164
MAURYTYJSKIE,f,91
MEKSYKAŃSKIE,m,1682
MEKSYKAŃSKIE,f,956
MIESZKANIEC TAJWANU,f,656
MIESZKANIEC TAJWANU,m,733
MIKRONEZYJSKIE,f,1
MIKRONEZYJSKIE,m,1
MJANMAŃSKIE,f,133
MJANMAŃSKIE,m,98
MONAKIJSKIE,m,5
MONAKIJSKIE,f,3
MONGOLSKIE,f,1304
MONGOLSKIE,m,1231
MOZAMBICKIE,m,144
MOZAMBICKIE,f,115
MOŁDAWSKIE,f,20254
MOŁDAWSKIE,m,45707
NAMIBIJSKIE,m,40
NAMIBIJSKIE,f,41
NEPALSKIE,m,15008
NEPALSKIE,f,3117
NIEMIECKIE,f,15852
NIEMIECKIE,m,36011
NIEMIECKIE/BERLIN ZACH.,f,17
NIEMIECKIE/BERLIN ZACH.,m,15
NIEMIECKIE/NRD,m,46
NIEMIECKIE/NRD,f,71
NIEUSTALONE,f,9489
NIEUSTALONE,m,5642
NIGERSKIE,m,257
NIGERSKIE,f,77
NIGERYJSKIE,m,3854
NIGERYJSKIE,f,1419
NIKARAGUAŃSKIE,m,81
NIKARAGUAŃSKIE,f,20
NORWESKIE,f,1100
NORWESKIE,m,1686
NOWOZELANDZKIE,m,209
NOWOZELANDZKIE,f,92
OMAŃSKIE,m,37
OMAŃSKIE,f,5
PAKISTAŃSKIE,m,4500
PAKISTAŃSKIE,f,791
PALAUSKIE,f,1
PALESTYŃSKIE,m,179
PALESTYŃSKIE,f,32
PANAMSKIE,f,30
PANAMSKIE,m,57
PAPUAŃSKIE,f,12
PAPUAŃSKIE,m,11
PARAGWAJSKIE,m,133
PARAGWAJSKIE,f,109
PERUWIAŃSKIE,m,1045
PERUWIAŃSKIE,f,514
PORTUGALSKIE,f,1224
PORTUGALSKIE,m,3799
POŁUDNIOWOAFRYKAŃSKIE,m,772
