year,month,citizenship,sex,category,count
2010,4,DZA,m,temporary,3
2010,4,ARM,m,temporary,9
2010,4,AUS,m,temporary,2
2010,4,BGD,m,temporary,1
2010,4,BLR,m,temporary,9
2010,4,BGR,m,temporary,33
2010,4,CHN,m,temporary,1
2010,4,HRV,m,temporary,2
2010,4,CZE,m,temporary,4
2010,4,DNK,m,temporary,1
2010,4,EST,m,temporary,1
2010,4,FRA,m,temporary,2
2010,4,GRC,m,temporary,1
2010,4,GEO,m,temporary,17
2010,4,NLD,m,temporary,7
2010,4,IND,m,temporary,1
2010,4,IRQ,m,temporary,1
2010,4,ISR,m,temporary,2
2010,4,CMR,m,temporary,3
2010,4,COL,m,temporary,6
2010,4,COG,m,temporary,1
2010,4,CUB,m,temporary,1
2010,4,LBN,m,temporary,2
2010,4,LTU,m,temporary,20
2010,4,LVA,m,temporary,3
2010,4,MAR,m,temporary,1
2010,4,MDA,m,temporary,2
2010,4,DEU,m,temporary,18
2010,4,NGA,m,temporary,6
2010,4,PAK,m,temporary,1
2010,4,PRY,m,temporary,1
2010,4,ZAF,m,temporary,1
2010,4,RUS,m,temporary,24
2010,4,ROU,m,temporary,25
2010,4,SVK,m,temporary,1
2010,4,SVN,m,temporary,1
2010,4,SWE,m,temporary,3
2010,4,TJK,m,temporary,1
2010,4,TUR,m,temporary,2
2010,4,UKR,m,temporary,30
2010,4,UZB,m,temporary,1
2010,4,HUN,m,temporary,2
2010,4,GBR,m,temporary,2
2010,4,VNM,m,temporary,33
2010,4,ITA,m,temporary,3
2010,4,ZMB,m,temporary,1
2010,4,"",m,temporary,1
2010,4,AFG,m,convicted,1
2010,4,DZA,m,convicted,1
2010,4,ARM,m,convicted,25
2010,4,AZE,m,convicted,2
2010,4,BLR,m,convicted,20
2010,4,BGR,m,convicted,18
2010,4,CHN,m,convicted,1
2010,4,HRV,m,convicted,1
2010,4,CZE,m,convicted,6
2010,4,DNK,m,convicted,1
2010,4,FRA,m,convicted,1
2010,4,GRC,m,convicted,2
2010,4,GEO,m,convicted,5
2010,4,NLD,m,convicted,3
2010,4,IRN,m,convicted,1
2010,4,KAZ,m,convicted,2
2010,4,LTU,m,convicted,11
2010,4,LVA,m,convicted,3
2010,4,MKD,m,convicted,1
2010,4,MAR,m,convicted,1
2010,4,MDA,m,convicted,6
2010,4,DEU,m,convicted,17
2010,4,NGA,m,convicted,2
2010,4,PAK,m,convicted,4
2010,4,PRT,m,convicted,1
2010,4,RUS,m,convicted,22
2010,4,ROU,m,convicted,14
2010,4,SRB,m,convicted,1
2010,4,SVK,m,convicted,1
2010,4,SYR,m,convicted,1
2010,4,CHE,m,convicted,1
2010,4,SWE,m,convicted,1
2010,4,TUR,m,convicted,5
2010,4,TKM,m,convicted,1
2010,4,UKR,m,convicted,75
2010,4,USA,m,convicted,1
2010,4,HUN,m,convicted,1
2010,4,GBR,m,convicted,3
2010,4,VNM,m,convicted,5
2010,4,"",m,convicted,1
2010,4,"",m,convicted,1
2010,4,ARM,m,punished,1
2010,4,MKD,m,punished,1
2010,4,DEU,m,punished,1
2010,4,ROU,m,punished,1
2010,4,ARM,f,temporary,1
2010,4,BGR,f,temporary,7
2010,4,LVA,f,temporary,1
2010,4,PRY,f,temporary,1
2010,4,RUS,f,temporary,2
2010,4,ROU,f,temporary,2
2010,4,UKR,f,temporary,4
2010,4,VNM,f,temporary,2
2010,4,BEL,f,convicted,1
2010,4,BLR,f,convicted,3
2010,4,LTU,f,convicted,1
2010,4,RUS,f,convicted,1
2010,4,ROU,f,convicted,1
2010,4,UKR,f,convicted,1
2010,5,ALB,m,temporary,1
2010,5,DZA,m,temporary,3
2010,5,ARM,m,temporary,9
2010,5,AUS,m,temporary,1
2010,5,AUT,m,temporary,1
2010,5,BGD,m,temporary,1
2010,5,BEL,m,temporary,2
2010,5,BLR,m,temporary,11
2010,5,BGR,m,temporary,28
2010,5,CHN,m,temporary,1
2010,5,HRV,m,temporary,2
2010,5,CZE,m,temporary,5
2010,5,DNK,m,temporary,1
2010,5,EST,m,temporary,1
2010,5,FRA,m,temporary,2
2010,5,GRC,m,temporary,1
2010,5,GEO,m,temporary,17
2010,5,NLD,m,temporary,7
2010,5,IND,m,temporary,1
2010,5,IRQ,m,temporary,1
2010,5,ISR,m,temporary,2
2010,5,CMR,m,temporary,3
2010,5,COL,m,temporary,6
2010,5,COG,m,temporary,1
2010,5,CUB,m,temporary,1
2010,5,LBN,m,temporary,1
2010,5,LBY,m,temporary,1
2010,5,LTU,m,temporary,17
2010,5,LVA,m,temporary,4
2010,5,MAR,m,temporary,1
2010,5,MDA,m,temporary,2
2010,5,MNG,m,temporary,1
2010,5,DEU,m,temporary,19
2010,5,NGA,m,temporary,7
2010,5,PAK,m,temporary,1
2010,5,PRY,m,temporary,1
2010,5,ZAF,m,temporary,1
2010,5,RUS,m,temporary,19
2010,5,ROU,m,temporary,28
2010,5,SVK,m,temporary,1
2010,5,SVN,m,temporary,1
2010,5,SYR,m,temporary,1
2010,5,SWE,m,temporary,3
2010,5,TJK,m,temporary,1
2010,5,TUR,m,temporary,2
2010,5,UKR,m,temporary,24
2010,5,USA,m,temporary,1
2010,5,UZB,m,temporary,1
2010,5,HUN,m,temporary,3
2010,5,VNM,m,temporary,35
2010,5,ITA,m,temporary,3
2010,5,ZMB,m,temporary,1
2010,5,"",m,temporary,1
2010,5,AFG,m,convicted,1
2010,5,DZA,m,convicted,1
2010,5,ARM,m,convicted,27
2010,5,AZE,m,convicted,2
2010,5,BLR,m,convicted,19
2010,5,BGR,m,convicted,16
2010,5,CHN,m,convicted,1
2010,5,HRV,m,convicted,1
2010,5,CZE,m,convicted,6
2010,5,DNK,m,convicted,1
2010,5,FRA,m,convicted,1
2010,5,GRC,m,convicted,2
2010,5,GEO,m,convicted,5
2010,5,NLD,m,convicted,3
2010,5,IRN,m,convicted,1
2010,5,KAZ,m,convicted,2
2010,5,LTU,m,convicted,12
2010,5,LVA,m,convicted,3
2010,5,MKD,m,convicted,1
2010,5,MAR,m,convicted,1
2010,5,MDA,m,convicted,5
2010,5,DEU,m,convicted,19
2010,5,NGA,m,convicted,2
2010,5,PAK,m,convicted,4
2010,5,RUS,m,convicted,29
2010,5,ROU,m,convicted,11
2010,5,SRB,m,convicted,1
2010,5,SVK,m,convicted,1
2010,5,SYR,m,convicted,1
2010,5,CHE,m,convicted,1
2010,5,SWE,m,convicted,1
2010,5,TUR,m,convicted,6
2010,5,TKM,m,convicted,1
2010,5,UKR,m,convicted,70
2010,5,USA,m,convicted,1
2010,5,HUN,m,convicted,2
2010,5,GBR,m,convicted,3
2010,5,VNM,m,convicted,6
2010,5,"",m,convicted,1
2010,5,ROU,m,punished,1
2010,5,ARM,f,temporary,1
2010,5,BGR,f,temporary,4
2010,5,PRY,f,temporary,1
2010,5,RUS,f,temporary,2
2010,5,ROU,f,temporary,1
2010,5,UKR,f,temporary,3
2010,5,VNM,f,temporary,2
2010,5,BEL,f,convicted,1
2010,5,BLR,f,convicted,2
2010,5,LTU,f,convicted,2
2010,5,RUS,f,convicted,1
2010,5,ROU,f,convicted,2
2010,5,UKR,f,convicted,1
2010,6,ALB,m,temporary,1
2010,6,DZA,m,temporary,2
2010,6,ARM,m,temporary,11
2010,6,AUS,m,temporary,1
2010,6,BGD,m,temporary,1
2010,6,BEL,m,temporary,2
2010,6,BLR,m,temporary,11
2010,6,BGR,m,temporary,30
2010,6,CHN,m,temporary,1
2010,6,HRV,m,temporary,2
2010,6,CZE,m,temporary,3
2010,6,EST,m,temporary,1
2010,6,FRA,m,temporary,2
2010,6,GRC,m,temporary,1
2010,6,GEO,m,temporary,11
2010,6,ESP,m,temporary,1
2010,6,NLD,m,temporary,5
2010,6,IND,m,temporary,1
2010,6,IRQ,m,temporary,1
2010,6,ISR,m,temporary,3
2010,6,CMR,m,temporary,3
2010,6,CAN,m,temporary,1
2010,6,COL,m,temporary,7
2010,6,COG,m,temporary,1
2010,6,CUB,m,temporary,1
2010,6,LBN,m,temporary,1
2010,6,LBY,m,temporary,1
2010,6,LTU,m,temporary,18
2010,6,LVA,m,temporary,3
2010,6,MAR,m,temporary,1
2010,6,MDA,m,temporary,2
2010,6,MNG,m,temporary,1
2010,6,DEU,m,temporary,16
2010,6,NGA,m,temporary,7
2010,6,PAK,m,temporary,3
2010,6,PSE,m,temporary,1
2010,6,PRY,m,temporary,1
2010,6,ZAF,m,temporary,1
2010,6,RUS,m,temporary,20
2010,6,ROU,m,temporary,33
2010,6,SRB,m,temporary,1
2010,6,SVK,m,temporary,2
2010,6,SVN,m,temporary,1
2010,6,SYR,m,temporary,1
2010,6,CHE,m,temporary,1
2010,6,SWE,m,temporary,3
2010,6,TJK,m,temporary,1
2010,6,TUR,m,temporary,3
2010,6,UKR,m,temporary,28
2010,6,USA,m,temporary,1
2010,6,UZB,m,temporary,1
2010,6,HUN,m,temporary,2
2010,6,VNM,m,temporary,49
2010,6,ITA,m,temporary,3
2010,6,ZMB,m,temporary,1
2010,6,"",m,temporary,1
2010,6,AFG,m,convicted,1
2010,6,DZA,m,convicted,1
2010,6,ARM,m,convicted,25
2010,6,AZE,m,convicted,2
2010,6,BLR,m,convicted,22
2010,6,BGR,m,convicted,14
2010,6,CHN,m,convicted,1
2010,6,HRV,m,convicted,1
2010,6,CZE,m,convicted,7
2010,6,FRA,m,convicted,1
2010,6,GRC,m,convicted,2
2010,6,GEO,m,convicted,4
2010,6,ESP,m,convicted,1
2010,6,NLD,m,convicted,3
2010,6,IRN,m,convicted,1
2010,6,ISR,m,convicted,1
2010,6,KAZ,m,convicted,2
2010,6,LTU,m,convicted,15
2010,6,LVA,m,convicted,3
2010,6,MKD,m,convicted,2
2010,6,MAR,m,convicted,1
2010,6,MDA,m,convicted,5
2010,6,DEU,m,convicted,18
2010,6,NGA,m,convicted,2
2010,6,PAK,m,convicted,4
2010,6,RUS,m,convicted,31
2010,6,ROU,m,convicted,13
2010,6,SRB,m,convicted,1
2010,6,SVK,m,convicted,1
2010,6,SYR,m,convicted,1
2010,6,SWE,m,convicted,1
2010,6,TUR,m,convicted,9
2010,6,TKM,m,convicted,1
2010,6,UKR,m,convicted,63
2010,6,USA,m,convicted,1
2010,6,HUN,m,convicted,2
2010,6,GBR,m,convicted,3
2010,6,VNM,m,convicted,7
2010,6,"",m,convicted,1
2010,6,LTU,m,punished,1
2010,6,ARM,f,temporary,1
2010,6,ESP,f,temporary,1
2010,6,PRY,f,temporary,1
2010,6,RUS,f,temporary,1
2010,6,ROU,f,temporary,1
2010,6,SVK,f,temporary,1
2010,6,SWE,f,temporary,1
2010,6,UKR,f,temporary,2
2010,6,VNM,f,temporary,2
2010,6,BEL,f,convicted,1
2010,6,BLR,f,convicted,2
2010,6,LTU,f,convicted,2
2010,6,ROU,f,convicted,2
2010,6,UKR,f,convicted,2
2010,7,ALB,m,temporary,1
2010,7,DZA,m,temporary,2
2010,7,ARM,m,temporary,9
2010,7,AUS,m,temporary,1
2010,7,BGD,m,temporary,1
2010,7,BEL,m,temporary,2
2010,7,BLR,m,temporary,11
2010,7,BGR,m,temporary,29
2010,7,CHN,m,temporary,1
2010,7,HRV,m,temporary,2
2010,7,CZE,m,temporary,3
2010,7,FRA,m,temporary,1
2010,7,GRC,m,temporary,1
2010,7,GEO,m,temporary,13
2010,7,ESP,m,temporary,1
2010,7,NLD,m,temporary,5
2010,7,IND,m,temporary,1
2010,7,IRQ,m,temporary,1
2010,7,ISR,m,temporary,3
2010,7,CMR,m,temporary,3
2010,7,COL,m,temporary,7
2010,7,COG,m,temporary,1
2010,7,CUB,m,temporary,1
2010,7,LBN,m,temporary,1
2010,7,LTU,m,temporary,18
2010,7,LVA,m,temporary,2
2010,7,MAR,m,temporary,1
2010,7,MDA,m,temporary,3
2010,7,MNG,m,temporary,1
2010,7,DEU,m,temporary,18
2010,7,NGA,m,temporary,5
2010,7,PAK,m,temporary,3
2010,7,PRY,m,temporary,1
2010,7,RUS,m,temporary,18
2010,7,ROU,m,temporary,30
2010,7,SRB,m,temporary,1
2010,7,SVK,m,temporary,2
2010,7,SVN,m,temporary,1
2010,7,SYR,m,temporary,1
2010,7,CHE,m,temporary,1
2010,7,SWE,m,temporary,2
2010,7,TJK,m,temporary,1
2010,7,TUR,m,temporary,4
2010,7,UKR,m,temporary,23
2010,7,USA,m,temporary,1
2010,7,HUN,m,temporary,2
2010,7,VNM,m,temporary,47
2010,7,ITA,m,temporary,2
2010,7,ZMB,m,temporary,1
2010,7,"",m,temporary,1
2010,7,"",m,temporary,1
2010,7,AFG,m,convicted,1
2010,7,DZA,m,convicted,1
2010,7,ARM,m,convicted,22
2010,7,AZE,m,convicted,2
2010,7,BLR,m,convicted,21
2010,7,BGR,m,convicted,19
2010,7,CHN,m,convicted,1
2010,7,HRV,m,convicted,1
2010,7,CZE,m,convicted,7
2010,7,FRA,m,convicted,2
2010,7,GRC,m,convicted,2
2010,7,GEO,m,convicted,5
2010,7,ESP,m,convicted,1
2010,7,NLD,m,convicted,1
2010,7,IRN,m,convicted,1
2010,7,ISR,m,convicted,2
2010,7,KAZ,m,convicted,2
2010,7,LTU,m,convicted,15
2010,7,LVA,m,convicted,4
2010,7,MKD,m,convicted,2
2010,7,MAR,m,convicted,1
2010,7,MDA,m,convicted,4
2010,7,DEU,m,convicted,19
2010,7,NGA,m,convicted,2
2010,7,PAK,m,convicted,4
2010,7,RUS,m,convicted,29
2010,7,ROU,m,convicted,13
2010,7,SRB,m,convicted,1
2010,7,SVK,m,convicted,1
2010,7,SYR,m,convicted,1
2010,7,SWE,m,convicted,1
2010,7,TUR,m,convicted,7
2010,7,UKR,m,convicted,64
2010,7,USA,m,convicted,1
2010,7,HUN,m,convicted,2
2010,7,GBR,m,convicted,3
2010,7,VNM,m,convicted,9
2010,7,"",m,convicted,2
2010,7,LTU,m,punished,2
2010,7,ARM,f,temporary,1
2010,7,BLR,f,temporary,1
2010,7,CZE,f,temporary,1
2010,7,ESP,f,temporary,1
2010,7,NOR,f,temporary,1
2010,7,PRY,f,temporary,1
2010,7,RUS,f,temporary,1
2010,7,SVK,f,temporary,1
2010,7,SWE,f,temporary,1
2010,7,UKR,f,temporary,4
2010,7,VNM,f,temporary,3
2010,7,BEL,f,convicted,1
2010,7,BLR,f,convicted,2
2010,7,LTU,f,convicted,2
2010,7,ROU,f,convicted,2
2010,7,UKR,f,convicted,2
2010,8,ALB,m,temporary,1
2010,8,DZA,m,temporary,1
2010,8,ARM,m,temporary,8
2010,8,BGD,m,temporary,1
2010,8,BEL,m,temporary,1
