year,quarter,type,group,age,sex,country_code,count
2016,1,sickness,entrepreuners,17,f,BGR,2
2016,1,sickness,entrepreuners,17,f,UKR,1
2016,1,sickness,entrepreuners,17,f,VNM,1
2017,1,sickness,entrepreuners,17,f,BGR,1
2017,1,sickness,entrepreuners,17,f,VNM,1
2016,1,sickness,all.people,17,f,BLR,3
2016,1,sickness,all.people,17,f,GBR,1
2016,1,sickness,all.people,17,f,BGR,7
2016,1,sickness,all.people,17,f,CHN,2
2016,1,sickness,all.people,17,f,CZE,1
2016,1,sickness,all.people,17,f,FRA,2
2016,1,sickness,all.people,17,f,IRL,1
2016,1,sickness,all.people,17,f,LTU,1
2016,1,sickness,all.people,17,f,DEU,2
2016,1,sickness,all.people,17,f,RUS,2
2016,1,sickness,all.people,17,f,UKR,29
2016,1,sickness,all.people,17,f,VNM,5
2016,1,sickness,all.people,17,f,ITA,1
2017,1,sickness,all.people,17,f,ARM,1
2017,1,sickness,all.people,17,f,BLR,3
2017,1,sickness,all.people,17,f,GBR,1
2017,1,sickness,all.people,17,f,BGR,6
2017,1,sickness,all.people,17,f,CHN,1
2017,1,sickness,all.people,17,f,CZE,1
2017,1,sickness,all.people,17,f,FRA,2
2017,1,sickness,all.people,17,f,ESP,1
2017,1,sickness,all.people,17,f,LTU,1
2017,1,sickness,all.people,17,f,LVA,1
2017,1,sickness,all.people,17,f,DEU,1
2017,1,sickness,all.people,17,f,RUS,1
2017,1,sickness,all.people,17,f,SCG,1
2017,1,sickness,all.people,17,f,SVN,1
2017,1,sickness,all.people,17,f,UKR,55
2017,1,sickness,all.people,17,f,VNM,5
2016,1,sickness,employees,17,f,BLR,3
2016,1,sickness,employees,17,f,GBR,1
2016,1,sickness,employees,17,f,BGR,5
2016,1,sickness,employees,17,f,CHN,2
2016,1,sickness,employees,17,f,CZE,1
2016,1,sickness,employees,17,f,FRA,2
2016,1,sickness,employees,17,f,LTU,1
2016,1,sickness,employees,17,f,DEU,2
2016,1,sickness,employees,17,f,RUS,2
2016,1,sickness,employees,17,f,UKR,19
2016,1,sickness,employees,17,f,VNM,4
2016,1,sickness,employees,17,f,ITA,1
2017,1,sickness,employees,17,f,ARM,1
2017,1,sickness,employees,17,f,BLR,3
2017,1,sickness,employees,17,f,GBR,1
2017,1,sickness,employees,17,f,BGR,5
2017,1,sickness,employees,17,f,CHN,1
2017,1,sickness,employees,17,f,CZE,1
2017,1,sickness,employees,17,f,FRA,2
2017,1,sickness,employees,17,f,LTU,1
2017,1,sickness,employees,17,f,LVA,1
2017,1,sickness,employees,17,f,DEU,1
2017,1,sickness,employees,17,f,RUS,1
2017,1,sickness,employees,17,f,SCG,1
2017,1,sickness,employees,17,f,UKR,44
2017,1,sickness,employees,17,f,VNM,4
2016,1,disability.pension,entrepreuners,17,f,GBR,2
2016,1,disability.pension,entrepreuners,17,f,BGR,3
2016,1,disability.pension,entrepreuners,17,f,DNK,1
2016,1,disability.pension,entrepreuners,17,f,DEU,1
2016,1,disability.pension,entrepreuners,17,f,RUS,1
2016,1,disability.pension,entrepreuners,17,f,UKR,1
2016,1,disability.pension,entrepreuners,17,f,VNM,1
2017,1,disability.pension,entrepreuners,17,f,GBR,1
2017,1,disability.pension,entrepreuners,17,f,BGR,2
2017,1,disability.pension,entrepreuners,17,f,DNK,1
2017,1,disability.pension,entrepreuners,17,f,DEU,1
2017,1,disability.pension,entrepreuners,17,f,RUS,1
2017,1,disability.pension,entrepreuners,17,f,VNM,1
2016,1,disability.pension,all.people,17,f,BEL,1
2016,1,disability.pension,all.people,17,f,BLR,4
2016,1,disability.pension,all.people,17,f,GBR,2
2016,1,disability.pension,all.people,17,f,BGR,8
2016,1,disability.pension,all.people,17,f,CHN,2
2016,1,disability.pension,all.people,17,f,CZE,1
2016,1,disability.pension,all.people,17,f,DNK,1
2016,1,disability.pension,all.people,17,f,FRA,2
2016,1,disability.pension,all.people,17,f,IRL,1
2016,1,disability.pension,all.people,17,f,KAZ,1
2016,1,disability.pension,all.people,17,f,LTU,1
2016,1,disability.pension,all.people,17,f,DEU,4
2016,1,disability.pension,all.people,17,f,RUS,3
2016,1,disability.pension,all.people,17,f,SWE,1
2016,1,disability.pension,all.people,17,f,UKR,46
2016,1,disability.pension,all.people,17,f,VNM,5
2016,1,disability.pension,all.people,17,f,ITA,1
2017,1,disability.pension,all.people,17,f,ARM,1
2017,1,disability.pension,all.people,17,f,BLR,5
2017,1,disability.pension,all.people,17,f,GBR,1
2017,1,disability.pension,all.people,17,f,BGR,7
2017,1,disability.pension,all.people,17,f,CHN,1
2017,1,disability.pension,all.people,17,f,CZE,1
2017,1,disability.pension,all.people,17,f,DNK,1
2017,1,disability.pension,all.people,17,f,FRA,2
2017,1,disability.pension,all.people,17,f,ESP,1
2017,1,disability.pension,all.people,17,f,LTU,1
2017,1,disability.pension,all.people,17,f,LVA,1
2017,1,disability.pension,all.people,17,f,DEU,3
2017,1,disability.pension,all.people,17,f,RUS,2
2017,1,disability.pension,all.people,17,f,SCG,1
2017,1,disability.pension,all.people,17,f,SVN,1
2017,1,disability.pension,all.people,17,f,UKR,78
2017,1,disability.pension,all.people,17,f,UZB,1
2017,1,disability.pension,all.people,17,f,VNM,5
2016,1,disability.pension,employees,17,f,BLR,3
2016,1,disability.pension,employees,17,f,GBR,1
2016,1,disability.pension,employees,17,f,BGR,5
2016,1,disability.pension,employees,17,f,CHN,2
2016,1,disability.pension,employees,17,f,CZE,1
2016,1,disability.pension,employees,17,f,FRA,2
2016,1,disability.pension,employees,17,f,LTU,1
2016,1,disability.pension,employees,17,f,DEU,2
2016,1,disability.pension,employees,17,f,RUS,2
2016,1,disability.pension,employees,17,f,UKR,19
2016,1,disability.pension,employees,17,f,VNM,4
2016,1,disability.pension,employees,17,f,ITA,1
2017,1,disability.pension,employees,17,f,ARM,1
2017,1,disability.pension,employees,17,f,BLR,3
2017,1,disability.pension,employees,17,f,GBR,1
2017,1,disability.pension,employees,17,f,BGR,5
2017,1,disability.pension,employees,17,f,CHN,1
2017,1,disability.pension,employees,17,f,CZE,1
2017,1,disability.pension,employees,17,f,FRA,2
2017,1,disability.pension,employees,17,f,LTU,1
2017,1,disability.pension,employees,17,f,LVA,1
2017,1,disability.pension,employees,17,f,DEU,1
2017,1,disability.pension,employees,17,f,RUS,1
2017,1,disability.pension,employees,17,f,SCG,1
2017,1,disability.pension,employees,17,f,UKR,44
2017,1,disability.pension,employees,17,f,VNM,4
2016,1,health,employees,17,f,BLR,3
2016,1,health,employees,17,f,GBR,1
2016,1,health,employees,17,f,BGR,5
2016,1,health,employees,17,f,CHN,2
2016,1,health,employees,17,f,CZE,1
2016,1,health,employees,17,f,FRA,1
2016,1,health,employees,17,f,DEU,1
2016,1,health,employees,17,f,RUS,1
2016,1,health,employees,17,f,UKR,18
2016,1,health,employees,17,f,VNM,2
2016,1,health,employees,17,f,ITA,1
2017,1,health,employees,17,f,ARM,1
2017,1,health,employees,17,f,BLR,3
2017,1,health,employees,17,f,GBR,1
2017,1,health,employees,17,f,BGR,5
2017,1,health,employees,17,f,CHN,1
2017,1,health,employees,17,f,CZE,1
2017,1,health,employees,17,f,FRA,1
2017,1,health,employees,17,f,LVA,1
2017,1,health,employees,17,f,RUS,1
2017,1,health,employees,17,f,SCG,1
2017,1,health,employees,17,f,UKR,44
2017,1,health,employees,17,f,VNM,2
2016,1,health,entrepreuners,17,f,GBR,2
2016,1,health,entrepreuners,17,f,BGR,3
2016,1,health,entrepreuners,17,f,DNK,1
2016,1,health,entrepreuners,17,f,DEU,1
2016,1,health,entrepreuners,17,f,UKR,1
2016,1,health,entrepreuners,17,f,VNM,1
2017,1,health,entrepreuners,17,f,GBR,1
2017,1,health,entrepreuners,17,f,BGR,2
2017,1,health,entrepreuners,17,f,DNK,1
2017,1,health,entrepreuners,17,f,DEU,1
2017,1,health,entrepreuners,17,f,VNM,1
2016,1,health,all.people,17,f,AFG,0
2016,1,health,all.people,17,f,ALB,0
2016,1,health,all.people,17,f,DZA,0
2016,1,health,all.people,17,f,USA,2
2016,1,health,all.people,17,f,AND,0
2016,1,health,all.people,17,f,AGO,0
2016,1,health,all.people,17,f,SAU,0
2016,1,health,all.people,17,f,ARG,0
2016,1,health,all.people,17,f,ARM,0
2016,1,health,all.people,17,f,ABW,0
2016,1,health,all.people,17,f,AUS,0
2016,1,health,all.people,17,f,AUT,0
2016,1,health,all.people,17,f,AZE,1
2016,1,health,all.people,17,f,BGD,0
2016,1,health,all.people,17,f,BRB,0
2016,1,health,all.people,17,f,BEL,0
2016,1,health,all.people,17,f,BEN,0
2016,1,health,all.people,17,f,BLR,11
2016,1,health,all.people,17,f,MMR,0
2016,1,health,all.people,17,f,BOL,0
2016,1,health,all.people,17,f,BIH,0
2016,1,health,all.people,17,f,BWA,0
2016,1,health,all.people,17,f,BRA,0
2016,1,health,all.people,17,f,IOT,0
2016,1,health,all.people,17,f,GBR,3
2016,1,health,all.people,17,f,VGB,0
2016,1,health,all.people,17,f,BGR,11
2016,1,health,all.people,17,f,BFA,0
2016,1,health,all.people,17,f,BDI,0
2016,1,health,all.people,17,f,CHL,0
2016,1,health,all.people,17,f,CHN,3
2016,1,health,all.people,17,f,HRV,0
2016,1,health,all.people,17,f,CYP,0
2016,1,health,all.people,17,f,TCD,0
2016,1,health,all.people,17,f,MNE,0
2016,1,health,all.people,17,f,CSK,0
2016,1,health,all.people,17,f,RUS,0
2016,1,health,all.people,17,f,CZE,1
2016,1,health,all.people,17,f,DOM,0
2016,1,health,all.people,17,f,DNK,1
2016,1,health,all.people,17,f,DJI,0
2016,1,health,all.people,17,f,EGY,0
2016,1,health,all.people,17,f,ECU,0
2016,1,health,all.people,17,f,ARE,0
2016,1,health,all.people,17,f,ERI,0
2016,1,health,all.people,17,f,EST,0
2016,1,health,all.people,17,f,ETH,0
2016,1,health,all.people,17,f,PHL,0
2016,1,health,all.people,17,f,FIN,0
2016,1,health,all.people,17,f,FRA,3
2016,1,health,all.people,17,f,ATF,0
2016,1,health,all.people,17,f,GAB,0
2016,1,health,all.people,17,f,GMB,0
2016,1,health,all.people,17,f,GHA,0
2016,1,health,all.people,17,f,GRC,0
2016,1,health,all.people,17,f,GRD,0
2016,1,health,all.people,17,f,GEO,0
2016,1,health,all.people,17,f,GUY,0
2016,1,health,all.people,17,f,GTM,0
2016,1,health,all.people,17,f,GIN,0
2016,1,health,all.people,17,f,HTI,0
2016,1,health,all.people,17,f,IND,1
2016,1,health,all.people,17,f,ESP,0
2016,1,health,all.people,17,f,NLD,0
2016,1,health,all.people,17,f,HND,0
2016,1,health,all.people,17,f,IDN,0
2016,1,health,all.people,17,f,IRQ,4
2016,1,health,all.people,17,f,IRN,0
2016,1,health,all.people,17,f,IRL,0
2016,1,health,all.people,17,f,ISL,0
2016,1,health,all.people,17,f,ISR,0
2016,1,health,all.people,17,f,JAM,0
2016,1,health,all.people,17,f,JPN,0
2016,1,health,all.people,17,f,YEM,0
2016,1,health,all.people,17,f,JOR,0
2016,1,health,all.people,17,f,KHM,0
2016,1,health,all.people,17,f,CMR,1
2016,1,health,all.people,17,f,CAN,0
2016,1,health,all.people,17,f,QAT,0
2016,1,health,all.people,17,f,KAZ,10
2016,1,health,all.people,17,f,KEN,0
2016,1,health,all.people,17,f,KGZ,0
2016,1,health,all.people,17,f,COL,0
2016,1,health,all.people,17,f,COG,0
2016,1,health,all.people,17,f,KOR,0
2016,1,health,all.people,17,f,CRI,0
2016,1,health,all.people,17,f,GBR,0
2016,1,health,all.people,17,f,CUB,0
2016,1,health,all.people,17,f,KWT,0
2016,1,health,all.people,17,f,LKA,0
2016,1,health,all.people,17,f,LAO,0
2016,1,health,all.people,17,f,LBN,0
2016,1,health,all.people,17,f,LBR,0
2016,1,health,all.people,17,f,LBY,0
2016,1,health,all.people,17,f,LTU,1
2016,1,health,all.people,17,f,LUX,0
2016,1,health,all.people,17,f,LVA,0
2016,1,health,all.people,17,f,MKD,0
2016,1,health,all.people,17,f,MDG,0
2016,1,health,all.people,17,f,MYS,0
2016,1,health,all.people,17,f,MLI,0
2016,1,health,all.people,17,f,MLT,0
2016,1,health,all.people,17,f,MAR,1
2016,1,health,all.people,17,f,MRT,0
2016,1,health,all.people,17,f,MUS,0
2016,1,health,all.people,17,f,MEX,0
2016,1,health,all.people,17,f,MDA,2
2016,1,health,all.people,17,f,MCO,0
2016,1,health,all.people,17,f,MNG,2
2016,1,health,all.people,17,f,MOZ,0
2016,1,health,all.people,17,f,NAM,0
2016,1,health,all.people,17,f,NPL,0
2016,1,health,all.people,17,f,DEU,5
2016,1,health,all.people,17,f,NER,0
2016,1,health,all.people,17,f,NGA,1
2016,1,health,all.people,17,f,NIC,0
2016,1,health,all.people,17,f,NOR,0
2016,1,health,all.people,17,f,NZL,0
2016,1,health,all.people,17,f,PAK,0
2016,1,health,all.people,17,f,PSE,0
