year,type,group,sex,age,citizenship,count
2023,disability.pension,employees,m,55,UKR,3981
2023,disability.pension,employees,m,38,UKR,11298
2023,disability.pension,employees,m,55,DEU,56
2023,disability.pension,employees,m,54,BLR,790
2023,disability.pension,employees,m,48,BLR,1643
2023,disability.pension,employees,m,62,BLR,225
2023,disability.pension,employees,m,42,UKR,9643
2023,disability.pension,employees,m,18,UKR,6198
2023,disability.pension,employees,m,43,UKR,9509
2023,disability.pension,employees,f,76,BLR,3
2023,disability.pension,employees,f,29,UKR,8730
2023,disability.pension,employees,m,26,UKR,10273
2023,disability.pension,employees,m,24,UKR,6769
2023,disability.pension,employees,m,21,BLR,980
2023,disability.pension,employees,f,50,UKR,273
2023,disability.pension,employees,m,31,BLR,388
2023,disability.pension,employees,m,42,BLR,2641
2023,disability.pension,employees,f,46,BLR,570
2023,disability.pension,employees,f,52,BLR,370
2023,disability.pension,employees,m,40,BLR,352
2023,disability.pension,employees,m,43,BLR,2418
2023,disability.pension,employees,m,38,BLR,3421
2023,disability.pension,employees,m,46,BLR,1960
2023,disability.pension,employees,f,45,BLR,544
2023,disability.pension,employees,f,40,BLR,104
2023,disability.pension,employees,f,43,BLR,604
2023,disability.pension,employees,m,34,BLR,3557
2023,disability.pension,employees,m,26,BLR,2810
2023,disability.pension,employees,m,36,UKR,11965
2023,disability.pension,employees,m,40,UKR,11314
2023,disability.pension,employees,m,35,UKR,11994
2023,disability.pension,employees,m,45,UKR,8742
2023,disability.pension,employees,m,22,MDA,245
2023,disability.pension,employees,m,24,MDA,304
2023,disability.pension,employees,f,49,BLR,9
2023,disability.pension,employees,f,30,BLR,1182
2023,disability.pension,employees,f,32,UKR,8628
2023,disability.pension,employees,m,45,BLR,2077
2023,disability.pension,employees,m,47,BLR,1805
2023,disability.pension,employees,m,37,BLR,3719
2023,disability.pension,employees,m,36,BLR,3696
2023,disability.pension,employees,m,40,BLR,3224
2023,disability.pension,employees,m,49,BLR,1544
2023,disability.pension,employees,m,39,BLR,3302
2023,disability.pension,employees,m,32,BLR,3337
2023,disability.pension,employees,m,41,BLR,2968
2023,disability.pension,employees,f,55,UKR,4668
2023,disability.pension,employees,f,45,BLR,122
2023,disability.pension,employees,f,55,BLR,214
2023,disability.pension,employees,m,53,BLR,1006
2023,disability.pension,employees,m,55,BLR,739
2023,disability.pension,employees,m,58,BLR,469
2023,disability.pension,employees,m,33,BLR,3555
2023,disability.pension,employees,f,24,BLR,96
2023,disability.pension,employees,m,50,RUS,102
2023,disability.pension,employees,m,39,RUS,209
2023,disability.pension,employees,m,31,BLR,3182
2023,disability.pension,employees,m,50,BLR,1371
2023,disability.pension,employees,m,44,BLR,2250
2023,disability.pension,employees,m,35,BLR,3795
2023,disability.pension,employees,f,35,UKR,9441
2023,disability.pension,employees,m,59,BLR,370
2023,disability.pension,employees,m,42,BLR,322
2023,disability.pension,employees,m,52,BLR,1204
2023,disability.pension,employees,m,30,BLR,3023
2023,disability.pension,employees,m,47,BLR,228
2023,disability.pension,employees,m,25,BLR,2414
2023,disability.pension,employees,f,61,BLR,76
2023,disability.pension,employees,m,27,BLR,2771
2023,disability.pension,employees,m,42,UZB,199
2023,disability.pension,employees,m,28,BLR,2966
2023,disability.pension,employees,m,49,UKR,7192
2023,disability.pension,employees,f,34,BLR,1060
2023,disability.pension,employees,m,41,BLR,330
2023,disability.pension,employees,f,53,UKR,1334
2023,disability.pension,employees,m,33,UKR,11611
2023,disability.pension,employees,f,34,UKR,8792
2023,disability.pension,employees,f,40,UKR,10737
2023,disability.pension,employees,f,29,BLR,1307
2023,disability.pension,employees,f,49,BLR,443
2023,disability.pension,employees,m,37,UKR,11796
2023,disability.pension,employees,f,28,UKR,9136
2023,disability.pension,employees,f,48,RUS,93
2023,disability.pension,employees,f,41,BLR,703
2023,disability.pension,employees,f,50,UKR,7349
2023,disability.pension,employees,f,44,UKR,9765
2023,disability.pension,employees,f,54,UKR,5097
2023,disability.pension,employees,m,51,UKR,6348
2023,disability.pension,employees,f,33,BLR,1062
2023,disability.pension,employees,f,38,UKR,10172
2023,disability.pension,employees,m,29,UKR,11269
2023,disability.pension,employees,m,39,UKR,11565
2023,disability.pension,employees,f,25,UKR,8016
2023,disability.pension,employees,m,30,UKR,11470
2023,disability.pension,employees,f,36,UKR,9983
2023,disability.pension,employees,m,27,MDA,337
2023,disability.pension,employees,f,49,UKR,2028
2023,disability.pension,employees,m,50,UKR,6601
2023,disability.pension,employees,m,51,GEO,381
2023,disability.pension,employees,f,43,UKR,9918
2023,disability.pension,employees,f,51,UKR,7206
2023,disability.pension,employees,f,41,UKR,9857
2023,disability.pension,employees,m,46,UKR,8141
2023,disability.pension,employees,m,27,UKR,10927
2023,disability.pension,employees,f,39,UKR,10277
2023,disability.pension,employees,f,42,UKR,2062
2023,disability.pension,employees,m,28,UKR,10996
2023,disability.pension,employees,f,57,UKR,3736
2023,disability.pension,employees,f,47,UKR,9118
2023,disability.pension,employees,m,62,UKR,1890
2023,disability.pension,employees,f,30,UKR,8611
2023,disability.pension,employees,m,45,GEO,572
2023,disability.pension,employees,m,61,UKR,2258
2023,disability.pension,employees,f,47,UKR,2050
2023,disability.pension,employees,f,33,UKR,8639
2023,disability.pension,employees,f,37,UKR,10366
2023,disability.pension,employees,f,60,UKR,502
2023,disability.pension,employees,f,46,UKR,9220
2023,disability.pension,employees,f,21,UKR,5595
2023,disability.pension,employees,f,59,UKR,2847
2023,disability.pension,employees,f,26,UKR,9350
2023,disability.pension,employees,f,54,BLR,287
2023,disability.pension,employees,f,19,UKR,4349
2023,disability.pension,employees,f,42,UKR,9796
2023,disability.pension,employees,f,52,UKR,6535
2023,disability.pension,employees,m,52,UKR,5831
2023,disability.pension,employees,f,56,UKR,4011
2023,disability.pension,employees,f,67,RUS,12
2023,disability.pension,employees,f,49,RUS,85
2023,disability.pension,employees,m,48,UKR,7529
2023,disability.pension,employees,m,47,ROU,90
2023,disability.pension,employees,m,41,UKR,9889
2023,disability.pension,employees,m,59,UKR,2072
2023,disability.pension,employees,f,48,UKR,8490
2023,disability.pension,employees,m,47,GBR,42
2023,disability.pension,employees,m,31,UKR,11503
