year,sex,country_code,country,border,police_id_no,police_id_yes,police,prison,pop_insured,pop_register,continent,wbd_region7,schengen,ukr,simplified_proc
2019,f,ABW,Aruba,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,AFG,Afghanistan,0,0,0,0,0,269,15,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,AGO,Angola,2,0,0,0,0,15,34,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,AIA,Anguilla,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,ALB,Albania,0,1,0,1,0,64,90,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,AND,Andorra,0,0,0,0,0,0,2,Europe,Europe & Central Asia,non-Schengen,0,0
2019,f,unknown/stateless,unknown/stateless,0,0,1,1,0,3159,9208,unknown/stateless,unknown/stateless,non-Schengen,0,0
2019,f,ARE,United Arab Emirates,0,1,0,1,0,0,0,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,ARG,Argentina,0,1,0,1,0,52,68,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,ARM,Armenia,8,1,16,17,1,1089,530,Asia,Europe & Central Asia,non-Schengen,0,1
2019,f,ASM,American Samoa,0,0,0,0,0,0,0,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,ATA,Antarctica,0,0,0,0,0,0,0,Antarctica,unknown/stateless,non-Schengen,0,0
2019,f,ATF,French Southern Territories,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,ATG,Antigua & Barbuda,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
2019,f,AUS,Australia,2,0,0,0,0,44,47,Oceania,East Asia & Pacific,non-Schengen,0,0
2019,f,AZE,Azerbaijan,2,1,0,1,0,219,337,Asia,Europe & Central Asia,non-Schengen,0,0
2019,f,BDI,Burundi,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,BEN,Benin,0,0,0,0,0,0,4,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,BFA,Burkina Faso,0,0,0,0,0,0,4,Africa,Sub-Saharan Africa,non-Schengen,0,0
2019,f,BGD,Bangladesh,1,0,1,1,0,47,98,Asia,South Asia,non-Schengen,0,0
2019,f,BHR,Bahrain,0,0,0,0,0,0,4,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,0,0
2019,f,BHS,Bahamas,0,0,0,0,0,0,0,Americas,Latin America & Caribbean,non-Schengen,0,0
