year,sex,country_code,border,police_id_no,police_id_yes,police,prison,pop_insured,pop_register,country,country_code2,schengen
2014,f,ABW,,,,,,,,Aruba,ABW,non-Schengen
2014,f,AFG,,,,,,,,Afghanistan,AFG,non-Schengen
2014,f,AGO,1,,,,,,,Angola,AGO,non-Schengen
2014,f,AIA,,,,,,,,Anguilla,AIA,non-Schengen
2014,f,ALB,,,,,,,,Albania,ALB,non-Schengen
2014,f,AND,,,,,,,,Andorra,AND,non-Schengen
2014,f,ANT,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2014,f,ARE,,,,,,,,United Arab Emirates,ARE,non-Schengen
2014,f,ARG,,,,,,,,Argentina,ARG,non-Schengen
2014,f,ARM,22,,,,,,,Armenia,ARM,non-Schengen
2014,f,ASM,,,,,,,,American Samoa,ASM,non-Schengen
2014,f,ATA,,,,,,,,Antarctica,ATA,non-Schengen
2014,f,ATF,,,,,,,,French Southern Territories,ATF,non-Schengen
2014,f,ATG,,,,,,,,Antigua & Barbuda,ATG,non-Schengen
2014,f,AUS,,,,,,,,Australia,AUS,non-Schengen
2014,f,AUT,,,,,,,,Austria,AUT,Schengen
2014,f,AZE,,,,,,,,Azerbaijan,AZE,non-Schengen
2014,f,BDI,,,,,,,,Burundi,BDI,non-Schengen
2014,f,BEL,,,,,,,,Belgium,BEL,Schengen
2014,f,BEN,,,,,,,,Benin,BEN,non-Schengen
2014,f,BFA,,,,,,,,Burkina Faso,BFA,non-Schengen
2014,f,BGD,,,,,,,,Bangladesh,BGD,non-Schengen
2014,f,BGR,,,,,,,,Bulgaria,BGR,non-Schengen
2014,f,BHR,,,,,,,,Bahrain,BHR,non-Schengen
2014,f,BHS,,,,,,,,Bahamas,BHS,non-Schengen
2014,f,BIH,,,,,,,,Bosnia & Herzegovina,BIH,non-Schengen
2014,f,BLR,10,,,,,,,Belarus,BLR,non-Schengen
2014,f,BLZ,,,,,,,,Belize,BLZ,non-Schengen
2014,f,BOL,,,,,,,,Bolivia,BOL,non-Schengen
2014,f,BRA,,,,,,,,Brazil,BRA,non-Schengen
2014,f,BRB,,,,,,,,Barbados,BRB,non-Schengen
2014,f,BRN,,,,,,,,Brunei,BRN,non-Schengen
2014,f,BTN,,,,,,,,Bhutan,BTN,non-Schengen
2014,f,BWA,,,,,,,,Botswana,BWA,non-Schengen
2014,f,CAF,,,,,,,,Central African Republic,CAF,non-Schengen
2014,f,CAN,1,,,,,,,Canada,CAN,non-Schengen
2014,f,CHE,,,,,,,,Switzerland,CHE,Schengen
2014,f,CHL,,,,,,,,Chile,CHL,non-Schengen
2014,f,CHN,9,,,,,,,China,CHN,non-Schengen
2014,f,CIV,,,,,,,,Côte d’Ivoire,CIV,non-Schengen
2014,f,CMR,,,,,,,,Cameroon,CMR,non-Schengen
2014,f,COD,,,,,,,,Congo - Kinshasa,COD,non-Schengen
2014,f,COG,,,,,,,,Congo - Brazzaville,COG,non-Schengen
2014,f,COL,3,,,,,,,Colombia,COL,non-Schengen
2014,f,COM,,,,,,,,Comoros,COM,non-Schengen
2014,f,CPV,,,,,,,,Cape Verde,CPV,non-Schengen
2014,f,CRI,1,,,,,,,Costa Rica,CRI,non-Schengen
2014,f,CSK,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2014,f,CUB,1,,,,,,,Cuba,CUB,non-Schengen
2014,f,CYM,,,,,,,,Cayman Islands,CYM,non-Schengen
2014,f,CYP,,,,,,,,Cyprus,CYP,non-Schengen
2014,f,CZE,,,,,,,,Czechia,CZE,Schengen
2014,f,DDR,,,,,,,,unknown/stateless,unknown/stateless,non-Schengen
2014,f,DEU,,,,,,,,Germany,DEU,Schengen
2014,f,DJI,,,,,,,,Djibouti,DJI,non-Schengen
2014,f,DMA,,,,,,,,Dominica,DMA,non-Schengen
2014,f,DNK,,,,,,,,Denmark,DNK,Schengen
2014,f,DOM,1,,,,,,,Dominican Republic,DOM,non-Schengen
2014,f,DZA,,,,,,,,Algeria,DZA,non-Schengen
2014,f,ECU,1,,,,,,,Ecuador,ECU,non-Schengen
2014,f,EGY,,,,,,,,Egypt,EGY,non-Schengen
2014,f,ERI,,,,,,,,Eritrea,ERI,non-Schengen
2014,f,ESH,,,,,,,,Western Sahara,ESH,non-Schengen
2014,f,ESP,,,,,,,,Spain,ESP,Schengen
2014,f,EST,,,,,,,,Estonia,EST,Schengen
2014,f,ETH,,,,,,,,Ethiopia,ETH,non-Schengen
2014,f,FIN,,,,,,,,Finland,FIN,Schengen
2014,f,FJI,,,,,,,,Fiji,FJI,non-Schengen
2014,f,FLK,,,,,,,,Falkland Islands,FLK,non-Schengen
2014,f,FRA,,,,,,,,France,FRA,Schengen
2014,f,FRO,,,,,,,,Faroe Islands,FRO,non-Schengen
2014,f,FSM,,,,,,,,Micronesia (Federated States of),FSM,non-Schengen
2014,f,GAB,,,,,,,,Gabon,GAB,non-Schengen
2014,f,GBR,,,,,,,,United Kingdom,GBR,non-Schengen
2014,f,GEO,26,,,,,,,Georgia,GEO,non-Schengen
2014,f,GHA,,,,,,,,Ghana,GHA,non-Schengen
2014,f,GIN,1,,,,,,,Guinea,GIN,non-Schengen
2014,f,GMB,,,,,,,,Gambia,GMB,non-Schengen
2014,f,GNB,,,,,,,,Guinea-Bissau,GNB,non-Schengen
2014,f,GNQ,,,,,,,,Equatorial Guinea,GNQ,non-Schengen
2014,f,GRC,,,,,,,,Greece,GRC,Schengen
2014,f,GRD,,,,,,,,Grenada,GRD,non-Schengen
2014,f,GTM,,,,,,,,Guatemala,GTM,non-Schengen
2014,f,GUY,,,,,,,,Guyana,GUY,non-Schengen
2014,f,HKG,,,,,,,,Hong Kong SAR China,HKG,non-Schengen
2014,f,HND,,,,,,,,Honduras,HND,non-Schengen
2014,f,HRV,,,,,,,,Croatia,HRV,non-Schengen
2014,f,HTI,,,,,,,,Haiti,HTI,non-Schengen
2014,f,HUN,,,,,,,,Hungary,HUN,Schengen
2014,f,IDN,1,,,,,,,Indonesia,IDN,non-Schengen
2014,f,IND,,,,,,,,India,IND,non-Schengen
2014,f,IOT,,,,,,,,British Indian Ocean Territory,IOT,non-Schengen
2014,f,IRL,,,,,,,,Ireland,IRL,non-Schengen
2014,f,IRN,1,,,,,,,Iran,IRN,non-Schengen
2014,f,IRQ,1,,,,,,,Iraq,IRQ,non-Schengen
2014,f,ISL,,,,,,,,Iceland,ISL,Schengen
2014,f,ISR,,,,,,,,Israel,ISR,non-Schengen
