year,country_code,age,sex,police_id_no,police_id_yes,country,continent,wbd_region7,schengen
2016,AFG,34,m,0,1,Afghanistan,Asia,South Asia,non-Schengen
2016,AGO,39,m,1,0,Angola,Africa,Sub-Saharan Africa,non-Schengen
2016,ALB,22,m,1,0,Albania,Europe,Europe & Central Asia,non-Schengen
2016,ALB,26,m,0,1,Albania,Europe,Europe & Central Asia,non-Schengen
2016,ALB,34,m,1,0,Albania,Europe,Europe & Central Asia,non-Schengen
2016,ARG,32,m,0,1,Argentina,Americas,Latin America & Caribbean,non-Schengen
2016,ARG,37,m,0,1,Argentina,Americas,Latin America & Caribbean,non-Schengen
2016,ARG,38,m,1,0,Argentina,Americas,Latin America & Caribbean,non-Schengen
2016,ARM,22,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,23,m,1,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,24,m,1,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,25,m,4,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,26,m,2,4,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,27,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,29,m,3,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,30,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,31,m,0,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,32,m,1,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,33,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,34,m,1,0,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,35,m,1,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,36,m,2,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,37,m,1,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,38,m,0,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,39,f,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,39,m,3,4,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,40,m,2,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,41,f,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,41,m,1,5,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,42,m,0,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,43,m,0,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,44,m,1,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,45,f,1,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,45,m,4,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,46,m,1,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,47,m,1,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,48,m,2,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,49,m,2,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,50,m,0,7,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,51,m,1,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,52,m,0,3,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,53,m,0,4,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,54,m,1,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,55,f,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,55,m,0,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,56,m,2,0,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,57,f,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,57,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,59,m,1,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,60,f,1,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,60,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,62,f,0,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,63,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,65,f,0,2,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,65,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,66,f,1,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,67,f,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,68,m,1,0,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,69,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,72,m,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,78,f,0,1,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,AUS,29,m,1,0,Australia,Oceania,East Asia & Pacific,non-Schengen
2016,AUS,33,f,1,0,Australia,Oceania,East Asia & Pacific,non-Schengen
2016,AUS,34,m,1,0,Australia,Oceania,East Asia & Pacific,non-Schengen
2016,AUS,36,m,1,0,Australia,Oceania,East Asia & Pacific,non-Schengen
2016,AUS,40,m,1,0,Australia,Oceania,East Asia & Pacific,non-Schengen
2016,AUT,27,m,1,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,32,m,1,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,33,f,1,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,33,m,1,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,34,m,2,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,35,m,1,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,41,m,1,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,51,m,2,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,57,m,1,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,60,m,1,0,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,65,m,1,0,Austria,Europe,Europe & Central Asia,Schengen
