year,country,country_code,sex,pesel,continent,wbd_region7,schengen
2017,Afghanistan,AFG,m,256,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Afghanistan,AFG,f,63,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Albania,ALB,m,373,Europe,Europe & Central Asia,non-Schengen
2017,Albania,ALB,f,140,Europe,Europe & Central Asia,non-Schengen
2017,Algeria,DZA,m,723,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Algeria,DZA,f,42,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Andorra,AND,f,1,Europe,Europe & Central Asia,non-Schengen
2017,Angola,AGO,m,154,Africa,Sub-Saharan Africa,non-Schengen
2017,Angola,AGO,f,100,Africa,Sub-Saharan Africa,non-Schengen
2017,Saudi Arabia,SAU,m,686,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Saudi Arabia,SAU,f,227,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Argentina,ARG,m,145,Americas,Latin America & Caribbean,non-Schengen
2017,Argentina,ARG,f,98,Americas,Latin America & Caribbean,non-Schengen
2017,Armenia,ARM,m,2128,Asia,Europe & Central Asia,non-Schengen
2017,Armenia,ARM,f,1796,Asia,Europe & Central Asia,non-Schengen
2017,Australia,AUS,m,380,Oceania,East Asia & Pacific,non-Schengen
2017,Australia,AUS,f,240,Oceania,East Asia & Pacific,non-Schengen
2017,Austria,AUT,m,2244,Europe,Europe & Central Asia,Schengen
2017,Austria,AUT,f,2465,Europe,Europe & Central Asia,Schengen
2017,Azerbaijan,AZE,m,420,Asia,Europe & Central Asia,non-Schengen
2017,Azerbaijan,AZE,f,181,Asia,Europe & Central Asia,non-Schengen
2017,Bahamas,BHS,f,1,Americas,Latin America & Caribbean,non-Schengen
2017,Bahrain,BHR,m,2,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Bahrain,BHR,f,1,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Bangladesh,BGD,m,648,Asia,South Asia,non-Schengen
2017,Bangladesh,BGD,f,32,Asia,South Asia,non-Schengen
2017,Barbados,BRB,f,1,Americas,Latin America & Caribbean,non-Schengen
2017,Belgium,BEL,m,1150,Europe,Europe & Central Asia,Schengen
2017,Belgium,BEL,f,371,Europe,Europe & Central Asia,Schengen
2017,Belize,BLZ,m,5,Americas,Latin America & Caribbean,non-Schengen
2017,Belize,BLZ,f,1,Americas,Latin America & Caribbean,non-Schengen
2017,Benin,BEN,m,9,Africa,Sub-Saharan Africa,non-Schengen
2017,Benin,BEN,f,3,Africa,Sub-Saharan Africa,non-Schengen
2017,Germany,DEU,m,18,Europe,Europe & Central Asia,Schengen
2017,Germany,DEU,f,20,Europe,Europe & Central Asia,Schengen
2017,Bhutan,BTN,f,2,Asia,South Asia,non-Schengen
2017,Bhutan,BTN,m,1,Asia,South Asia,non-Schengen
2017,Belarus,BLR,m,11031,Europe,Europe & Central Asia,non-Schengen
2017,Belarus,BLR,f,9252,Europe,Europe & Central Asia,non-Schengen
2017,Bolivia,BOL,m,29,Americas,Latin America & Caribbean,non-Schengen
2017,Bolivia,BOL,f,23,Americas,Latin America & Caribbean,non-Schengen
2017,Bosnia & Herzegovina,BIH,m,343,Europe,Europe & Central Asia,non-Schengen
2017,Bosnia & Herzegovina,BIH,f,40,Europe,Europe & Central Asia,non-Schengen
2017,Botswana,BWA,f,1,Africa,Sub-Saharan Africa,non-Schengen
2017,Botswana,BWA,m,3,Africa,Sub-Saharan Africa,non-Schengen
2017,Brazil,BRA,m,692,Americas,Latin America & Caribbean,non-Schengen
2017,Brazil,BRA,f,415,Americas,Latin America & Caribbean,non-Schengen
2017,Brunei,BRN,m,4,Asia,East Asia & Pacific,non-Schengen
2017,Bulgaria,BGR,m,4293,Europe,Europe & Central Asia,non-Schengen
2017,Bulgaria,BGR,f,2429,Europe,Europe & Central Asia,non-Schengen
2017,Burkina Faso,BFA,m,11,Africa,Sub-Saharan Africa,non-Schengen
2017,Burkina Faso,BFA,f,1,Africa,Sub-Saharan Africa,non-Schengen
2017,Burundi,BDI,m,6,Africa,Sub-Saharan Africa,non-Schengen
2017,Chile,CHL,m,102,Americas,Latin America & Caribbean,non-Schengen
2017,Chile,CHL,f,39,Americas,Latin America & Caribbean,non-Schengen
2017,China,CHN,m,6487,Asia,East Asia & Pacific,non-Schengen
2017,China,CHN,f,4019,Asia,East Asia & Pacific,non-Schengen
2017,Croatia,HRV,m,496,Europe,Europe & Central Asia,non-Schengen
2017,Croatia,HRV,f,228,Europe,Europe & Central Asia,non-Schengen
2017,Cyprus,CYP,m,75,Asia,Europe & Central Asia,non-Schengen
2017,Cyprus,CYP,f,18,Asia,Europe & Central Asia,non-Schengen
2017,Chad,TCD,m,3,Africa,Sub-Saharan Africa,non-Schengen
2017,Montenegro,MNE,m,74,Europe,Europe & Central Asia,non-Schengen
2017,Montenegro,MNE,f,23,Europe,Europe & Central Asia,non-Schengen
2017,Czechoslovakia,CSK,m,80,Europe,Europe & Central Asia,non-Schengen
2017,Czechoslovakia,CSK,f,94,Europe,Europe & Central Asia,non-Schengen
2017,Czechia,CZE,m,1470,Europe,Europe & Central Asia,Schengen
2017,Czechia,CZE,f,1273,Europe,Europe & Central Asia,Schengen
2017,United States Minor Outlying Islands (the),UMI,m,3,Oceania,East Asia & Pacific,non-Schengen
2017,United States Minor Outlying Islands (the),UMI,f,1,Oceania,East Asia & Pacific,non-Schengen
2017,Denmark,DNK,m,1058,Europe,Europe & Central Asia,Schengen
2017,Denmark,DNK,f,622,Europe,Europe & Central Asia,Schengen
2017,Congo - Kinshasa,COD,m,15,Africa,Sub-Saharan Africa,non-Schengen
2017,Congo - Kinshasa,COD,f,6,Africa,Sub-Saharan Africa,non-Schengen
2017,Dominica,DMA,m,1,Americas,Latin America & Caribbean,non-Schengen
2017,Dominica,DMA,f,1,Americas,Latin America & Caribbean,non-Schengen
2017,Dominican Republic,DOM,m,28,Americas,Latin America & Caribbean,non-Schengen
2017,Dominican Republic,DOM,f,24,Americas,Latin America & Caribbean,non-Schengen
2017,Djibouti,DJI,m,1,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Djibouti,DJI,f,3,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Egypt,EGY,m,1337,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Egypt,EGY,f,92,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen
2017,Ecuador,ECU,m,57,Americas,Latin America & Caribbean,non-Schengen
2017,Ecuador,ECU,f,28,Americas,Latin America & Caribbean,non-Schengen
2017,Eritrea,ERI,m,8,Africa,Sub-Saharan Africa,non-Schengen
2017,Eritrea,ERI,f,7,Africa,Sub-Saharan Africa,non-Schengen
2017,Estonia,EST,m,71,Europe,Europe & Central Asia,Schengen
2017,Estonia,EST,f,102,Europe,Europe & Central Asia,Schengen
2017,Ethiopia,ETH,m,87,Africa,Sub-Saharan Africa,non-Schengen
2017,Ethiopia,ETH,f,36,Africa,Sub-Saharan Africa,non-Schengen
2017,Fiji,FJI,f,1,Oceania,East Asia & Pacific,non-Schengen
2017,Philippines,PHL,m,367,Asia,East Asia & Pacific,non-Schengen
2017,Philippines,PHL,f,489,Asia,East Asia & Pacific,non-Schengen
2017,Finland,FIN,m,612,Europe,Europe & Central Asia,Schengen
2017,Finland,FIN,f,411,Europe,Europe & Central Asia,Schengen
2017,France,FRA,m,4764,Europe,Europe & Central Asia,Schengen
2017,France,FRA,f,2059,Europe,Europe & Central Asia,Schengen
2017,Gabon,GAB,f,1,Africa,Sub-Saharan Africa,non-Schengen
2017,Gabon,GAB,m,4,Africa,Sub-Saharan Africa,non-Schengen
2017,Gambia,GMB,m,53,Africa,Sub-Saharan Africa,non-Schengen
2017,Gambia,GMB,f,3,Africa,Sub-Saharan Africa,non-Schengen
2017,Ghana,GHA,m,115,Africa,Sub-Saharan Africa,non-Schengen
2017,Ghana,GHA,f,24,Africa,Sub-Saharan Africa,non-Schengen
