year,sex,country_code,prison,country,continent,wbd_region7,schengen
2016,m,ALB,3,Albania,Europe,Europe & Central Asia,non-Schengen
2016,m,ARM,20,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,m,AUT,1,Austria,Europe,Europe & Central Asia,Schengen
2016,m,BGD,1,Bangladesh,Asia,South Asia,non-Schengen
2016,m,BEL,1,Belgium,Europe,Europe & Central Asia,Schengen
2016,m,BLR,32,Belarus,Europe,Europe & Central Asia,non-Schengen
2016,m,BGR,38,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2016,m,CHN,4,China,Asia,East Asia & Pacific,non-Schengen
2016,m,CYP,1,Cyprus,Asia,Europe & Central Asia,non-Schengen
2016,m,CZE,7,Czechia,Europe,Europe & Central Asia,Schengen
2016,m,EGY,2,Egypt,Africa,Middle East & North Africa,non-Schengen
2016,m,EST,4,Estonia,Europe,Europe & Central Asia,Schengen
2016,m,FIN,1,Finland,Europe,Europe & Central Asia,Schengen
2016,m,FRA,2,France,Europe,Europe & Central Asia,Schengen
2016,m,GRC,2,Greece,Europe,Europe & Central Asia,Schengen
2016,m,GEO,19,Georgia,Asia,Europe & Central Asia,non-Schengen
2016,m,ESP,1,Spain,Europe,Europe & Central Asia,Schengen
2016,m,NLD,4,Netherlands,Europe,Europe & Central Asia,Schengen
2016,m,IRQ,1,Iraq,Asia,Middle East & North Africa,non-Schengen
2016,m,IRN,2,Iran,Asia,Middle East & North Africa,non-Schengen
2016,m,ISR,5,Israel,Asia,Middle East & North Africa,non-Schengen
2016,m,CAN,2,Canada,Americas,North America,non-Schengen
2016,m,KAZ,3,Kazakhstan,Asia,Europe & Central Asia,non-Schengen
2016,m,KEN,1,Kenya,Africa,Sub-Saharan Africa,non-Schengen
2016,m,KGZ,2,Kyrgyzstan,Asia,Europe & Central Asia,non-Schengen
2016,m,XKX,2,KOSOVO,Europe,Europe & Central Asia,non-Schengen
2016,m,LTU,26,Lithuania,Europe,Europe & Central Asia,Schengen
2016,m,LVA,17,Latvia,Europe,Europe & Central Asia,Schengen
2016,m,MKD,1,North Macedonia,Europe,Europe & Central Asia,non-Schengen
2016,m,MAR,2,Morocco,Africa,Middle East & North Africa,non-Schengen
