year,country_code,sex,zus,country,continent,wbd_region7,schengen
2016,ABW,m,2,Aruba,Americas,Latin America & Caribbean,non-Schengen
2016,AFG,f,189,Afghanistan,Asia,South Asia,non-Schengen
2016,AFG,m,237,Afghanistan,Asia,South Asia,non-Schengen
2016,AGO,f,11,Angola,Africa,Sub-Saharan Africa,non-Schengen
2016,AGO,m,38,Angola,Africa,Sub-Saharan Africa,non-Schengen
2016,ALB,f,43,Albania,Europe,Europe & Central Asia,non-Schengen
2016,ALB,m,127,Albania,Europe,Europe & Central Asia,non-Schengen
2016,AND,m,2,Andorra,Europe,Europe & Central Asia,non-Schengen
2016,ARE,m,1,United Arab Emirates,Asia,Middle East & North Africa,non-Schengen
2016,ARG,f,28,Argentina,Americas,Latin America & Caribbean,non-Schengen
2016,ARG,m,86,Argentina,Americas,Latin America & Caribbean,non-Schengen
2016,ARM,f,941,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ARM,m,1342,Armenia,Asia,Europe & Central Asia,non-Schengen
2016,ATF,f,3,French Southern Territories,Africa,Sub-Saharan Africa,non-Schengen
2016,ATF,m,17,French Southern Territories,Africa,Sub-Saharan Africa,non-Schengen
2016,AUS,f,43,Australia,Oceania,East Asia & Pacific,non-Schengen
2016,AUS,m,108,Australia,Oceania,East Asia & Pacific,non-Schengen
2016,AUT,f,138,Austria,Europe,Europe & Central Asia,Schengen
2016,AUT,m,311,Austria,Europe,Europe & Central Asia,Schengen
2016,AZE,f,65,Azerbaijan,Asia,Europe & Central Asia,non-Schengen
2016,AZE,m,229,Azerbaijan,Asia,Europe & Central Asia,non-Schengen
2016,BDI,m,2,Burundi,Africa,Sub-Saharan Africa,non-Schengen
2016,BEL,f,75,Belgium,Europe,Europe & Central Asia,Schengen
2016,BEL,m,410,Belgium,Europe,Europe & Central Asia,Schengen
2016,BEN,f,2,Benin,Africa,Sub-Saharan Africa,non-Schengen
2016,BEN,m,6,Benin,Africa,Sub-Saharan Africa,non-Schengen
2016,BFA,f,2,Burkina Faso,Africa,Sub-Saharan Africa,non-Schengen
2016,BFA,m,8,Burkina Faso,Africa,Sub-Saharan Africa,non-Schengen
2016,BGD,f,13,Bangladesh,Asia,South Asia,non-Schengen
2016,BGD,m,459,Bangladesh,Asia,South Asia,non-Schengen
2016,BGR,f,991,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2016,BGR,m,1630,Bulgaria,Europe,Europe & Central Asia,non-Schengen
2016,BIH,f,16,Bosnia & Herzegovina,Europe,Europe & Central Asia,non-Schengen
2016,BIH,m,107,Bosnia & Herzegovina,Europe,Europe & Central Asia,non-Schengen
2016,BLR,f,4645,Belarus,Europe,Europe & Central Asia,non-Schengen
2016,BLR,m,9686,Belarus,Europe,Europe & Central Asia,non-Schengen
2016,BOL,f,7,Bolivia,Americas,Latin America & Caribbean,non-Schengen
2016,BOL,m,17,Bolivia,Americas,Latin America & Caribbean,non-Schengen
2016,BRA,f,104,Brazil,Americas,Latin America & Caribbean,non-Schengen
2016,BRA,m,381,Brazil,Americas,Latin America & Caribbean,non-Schengen
2016,BRB,f,3,Barbados,Americas,Latin America & Caribbean,non-Schengen
2016,BRB,m,3,Barbados,Americas,Latin America & Caribbean,non-Schengen
2016,BWA,m,3,Botswana,Africa,Sub-Saharan Africa,non-Schengen
2016,CAF,m,1,Central African Republic,Africa,Sub-Saharan Africa,non-Schengen
2016,CAN,f,69,Canada,Americas,North America,non-Schengen
2016,CAN,m,170,Canada,Americas,North America,non-Schengen
2016,CHE,f,23,Switzerland,Europe,Europe & Central Asia,Schengen
2016,CHE,m,92,Switzerland,Europe,Europe & Central Asia,Schengen
2016,CHL,f,9,Chile,Americas,Latin America & Caribbean,non-Schengen
2016,CHL,m,61,Chile,Americas,Latin America & Caribbean,non-Schengen
2016,CHN,f,1762,China,Asia,East Asia & Pacific,non-Schengen
2016,CHN,m,2598,China,Asia,East Asia & Pacific,non-Schengen
2016,CIV,f,8,Côte d’Ivoire,Africa,Sub-Saharan Africa,non-Schengen
2016,CIV,m,11,Côte d’Ivoire,Africa,Sub-Saharan Africa,non-Schengen
2016,CMR,f,22,Cameroon,Africa,Sub-Saharan Africa,non-Schengen
2016,CMR,m,137,Cameroon,Africa,Sub-Saharan Africa,non-Schengen
2016,COG,f,17,Congo - Brazzaville,Africa,Sub-Saharan Africa,non-Schengen
2016,COG,m,95,Congo - Brazzaville,Africa,Sub-Saharan Africa,non-Schengen
2016,COL,f,30,Colombia,Americas,Latin America & Caribbean,non-Schengen
2016,COL,m,106,Colombia,Americas,Latin America & Caribbean,non-Schengen
2016,CPV,f,1,Cape Verde,Africa,Sub-Saharan Africa,non-Schengen
2016,CRI,f,5,Costa Rica,Americas,Latin America & Caribbean,non-Schengen
2016,CRI,m,27,Costa Rica,Americas,Latin America & Caribbean,non-Schengen
2016,CUB,f,30,Cuba,Americas,Latin America & Caribbean,non-Schengen
2016,CUB,m,98,Cuba,Americas,Latin America & Caribbean,non-Schengen
2016,CYP,f,8,Cyprus,Asia,Europe & Central Asia,non-Schengen
2016,CYP,m,30,Cyprus,Asia,Europe & Central Asia,non-Schengen
2016,CZE,f,528,Czechia,Europe,Europe & Central Asia,Schengen
2016,CZE,m,908,Czechia,Europe,Europe & Central Asia,Schengen
2016,DEU,f,699,Germany,Europe,Europe & Central Asia,Schengen
2016,DEU,m,2693,Germany,Europe,Europe & Central Asia,Schengen
2016,DJI,f,1,Djibouti,Africa,Middle East & North Africa,non-Schengen
2016,DNK,f,47,Denmark,Europe,Europe & Central Asia,Schengen
2016,DNK,m,350,Denmark,Europe,Europe & Central Asia,Schengen
2016,DOM,f,4,Dominican Republic,Americas,Latin America & Caribbean,non-Schengen
2016,DOM,m,14,Dominican Republic,Americas,Latin America & Caribbean,non-Schengen
2016,DZA,f,21,Algeria,Africa,Middle East & North Africa,non-Schengen
2016,DZA,m,385,Algeria,Africa,Middle East & North Africa,non-Schengen
2016,ECU,f,5,Ecuador,Americas,Latin America & Caribbean,non-Schengen
2016,ECU,m,29,Ecuador,Americas,Latin America & Caribbean,non-Schengen
