year,period,same_year,country_code,border,country,continent,wbd_region7,schengen,sex,age
2014,2014_I,FALSE,AFG,5,Afghanistan,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,AGO,1,Angola,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,ARG,1,Argentina,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2014,2014_I,FALSE,ARM,3,Armenia,Asia,Europe & Central Asia,non-Schengen,f,17
2014,2014_I,FALSE,ARM,12,Armenia,Asia,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_I,FALSE,ARM,6,Armenia,Asia,Europe & Central Asia,non-Schengen,m,17
2014,2014_I,FALSE,ARM,17,Armenia,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,AUS,1,Australia,Oceania,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_I,FALSE,AZE,3,Azerbaijan,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,BEN,1,Benin,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,BGD,7,Bangladesh,Asia,South Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,BLR,2,Belarus,Europe,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_I,FALSE,BLR,21,Belarus,Europe,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,CAN,1,Canada,Americas,North America,non-Schengen,f,60
2014,2014_I,FALSE,CAN,2,Canada,Americas,North America,non-Schengen,m,18_59
2014,2014_I,FALSE,CHL,1,Chile,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2014,2014_I,FALSE,CHN,4,China,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_I,FALSE,CHN,12,China,Asia,East Asia & Pacific,non-Schengen,m,18_59
2014,2014_I,FALSE,CIV,1,Côte d’Ivoire,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,CMR,2,Cameroon,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,COD,1,Congo - Kinshasa,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,COL,1,Colombia,Americas,Latin America & Caribbean,non-Schengen,f,17
2014,2014_I,FALSE,COL,2,Colombia,Americas,Latin America & Caribbean,non-Schengen,f,18_59
2014,2014_I,FALSE,COL,1,Colombia,Americas,Latin America & Caribbean,non-Schengen,m,60
2014,2014_I,FALSE,CUB,1,Cuba,Americas,Latin America & Caribbean,non-Schengen,f,18_59
2014,2014_I,FALSE,CUB,1,Cuba,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2014,2014_I,FALSE,DOM,1,Dominican Republic,Americas,Latin America & Caribbean,non-Schengen,f,18_59
2014,2014_I,FALSE,DOM,1,Dominican Republic,Americas,Latin America & Caribbean,non-Schengen,m,18_59
2014,2014_I,FALSE,DZA,8,Algeria,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,ECU,1,Ecuador,Americas,Latin America & Caribbean,non-Schengen,f,18_59
2014,2014_I,FALSE,EGY,14,Egypt,Africa,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,m,18_59
2014,2014_I,FALSE,GEO,4,Georgia,Asia,Europe & Central Asia,non-Schengen,f,17
2014,2014_I,FALSE,GEO,13,Georgia,Asia,Europe & Central Asia,non-Schengen,f,18_59
2014,2014_I,FALSE,GEO,1,Georgia,Asia,Europe & Central Asia,non-Schengen,f,60
2014,2014_I,FALSE,GEO,14,Georgia,Asia,Europe & Central Asia,non-Schengen,m,17
2014,2014_I,FALSE,GEO,41,Georgia,Asia,Europe & Central Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,GIN,2,Guinea,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,GNB,2,Guinea-Bissau,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,IDN,1,Indonesia,Asia,East Asia & Pacific,non-Schengen,f,18_59
2014,2014_I,FALSE,IND,17,India,Asia,South Asia,non-Schengen,m,18_59
2014,2014_I,FALSE,IOT,1,British Indian Ocean Territory,Africa,Sub-Saharan Africa,non-Schengen,m,18_59
2014,2014_I,FALSE,IRN,1,Iran,Asia,"Middle East, North Africa, Afghanistan & Pakistan",non-Schengen,f,18_59
