sim,scenario,model,Bias (%),Bias BC (%),improvement_pp
Sim1 (aggreg.),NB(n)-NB(m),nb,-31.1087958509616,-39.0125467961795,7.9
Sim1 (aggreg.),NB(n)-NB(m),nb_c,-31.1081113388887,-38.2328305103809,7.12
Sim1 (aggreg.),NB(n)-NB(m),nls,4.86085875795192e+84,9.8982864577262e+28,4.86085875795192e+84
Sim1 (aggreg.),NB(n)-NB(m),ols,-33.9514728246938,-43.8678875923227,9.92
Sim1 (aggreg.),NB(n)-NB(m),poisson,11.6441629544387,11.1744141706317,0.47
Sim1 (aggreg.),NB(n)-NB(m),poisson_c,11.435702177982,4998.06260318448,-4986.63
Sim1 (aggreg.),NB(n)-Po(m),nb,-39.9218963977161,-40.7489492184194,0.83
Sim1 (aggreg.),NB(n)-Po(m),nb_c,-39.9219178074702,-40.6552149790193,0.73
Sim1 (aggreg.),NB(n)-Po(m),nls,-32.6023774126934,-32.9931518520354,0.39
Sim1 (aggreg.),NB(n)-Po(m),ols,-21.8114861742848,-24.9018874201666,3.09
Sim1 (aggreg.),NB(n)-Po(m),poisson,-31.6173907413123,-31.87092210799,0.25
Sim1 (aggreg.),NB(n)-Po(m),poisson_c,-31.6174267591231,-31.8356716901433,0.22
Sim1 (aggreg.),Po(n)-NB(m),nb,-15.7861723999098,-26.6236253307881,10.84
Sim1 (aggreg.),Po(n)-NB(m),nb_c,-15.7869325574618,-25.3547486034769,9.57
Sim1 (aggreg.),Po(n)-NB(m),nls,8.02554818357061e+132,2.04023250895626e+56,8.02554818357061e+132
Sim1 (aggreg.),Po(n)-NB(m),ols,-17.6003585035153,-30.5664609982099,12.97
Sim1 (aggreg.),Po(n)-NB(m),poisson,155.029336467955,153.548975968653,1.48
Sim1 (aggreg.),Po(n)-NB(m),poisson_c,103.28534946779,24749.5132386919,-24646.23
Sim1 (aggreg.),Po(n)-Po(m),nb,-2.12803095541972,-2.7652984963446,0.64
Sim1 (aggreg.),Po(n)-Po(m),nb_c,-2.12789254812234,-2.65210089905513,0.52
Sim1 (aggreg.),Po(n)-Po(m),nls,11.7966115629792,11.3602631995104,0.44
Sim1 (aggreg.),Po(n)-Po(m),ols,7.6846470927683,3.83094028986216,3.85
Sim1 (aggreg.),Po(n)-Po(m),poisson,-0.434512448430015,-0.996693079327303,0.56
Sim1 (aggreg.),Po(n)-Po(m),poisson_c,-0.434487928471445,-0.894313493474641,0.46
Sim2 (zeros),NB(n)-NB(m),nb,10.9098999758207,-0.638379081259073,11.55
Sim2 (zeros),NB(n)-NB(m),nb_c,10.9113105104713,1.2043316470143,9.71
Sim2 (zeros),NB(n)-NB(m),nls,1.87688576010999e+165,1.87688576010166e+165,8.33282496622562e+153
Sim2 (zeros),NB(n)-NB(m),ols,-80.5381521237345,-81.633930399019,1.1
Sim2 (zeros),NB(n)-NB(m),poisson,70.6476450731497,69.7731078607662,0.87
Sim2 (zeros),NB(n)-NB(m),poisson_c,66.3736043066635,74.7731603701014,-8.4
Sim2 (zeros),NB(n)-Po(m),nb,0.848998779397844,0.306527837652026,0.54
Sim2 (zeros),NB(n)-Po(m),nb_c,0.86357275099904,0.424486868178303,0.44
Sim2 (zeros),NB(n)-Po(m),nls,2.55968411344338,2.31366520052489,0.25
Sim2 (zeros),NB(n)-Po(m),ols,-75.150825568894,-75.7456904834257,0.59
Sim2 (zeros),NB(n)-Po(m),poisson,0.825220156049824,0.314713793645635,0.51
Sim2 (zeros),NB(n)-Po(m),poisson_c,0.825234665577337,0.410694573023758,0.41
Sim2 (zeros),Po(n)-NB(m),nb,6.89871695506323,-4.65906525907405,11.56
Sim2 (zeros),Po(n)-NB(m),nb_c,6.88925594288188,-2.94634389853942,9.84
Sim2 (zeros),Po(n)-NB(m),nls,7.99000680357638e+132,7.99000680357636e+132,2.39564197674078e+118
Sim2 (zeros),Po(n)-NB(m),ols,-77.9076724114486,-78.9876311692295,1.08
Sim2 (zeros),Po(n)-NB(m),poisson,77.82171278759,76.2501381419773,1.57
Sim2 (zeros),Po(n)-NB(m),poisson_c,63.5431115095197,64.4439832699328,-0.9
Sim2 (zeros),Po(n)-Po(m),nb,-3.9135178501977,-4.41737977440187,0.5
Sim2 (zeros),Po(n)-Po(m),nb_c,-0.305969531133542,-0.738806271191501,0.43
Sim2 (zeros),Po(n)-Po(m),nls,-3.15095498804958,-3.66032431574191,0.51
Sim2 (zeros),Po(n)-Po(m),ols,-70.3448288961942,-70.874016689557,0.53
Sim2 (zeros),Po(n)-Po(m),poisson,-0.396254301066323,-0.906926936020648,0.51
Sim2 (zeros),Po(n)-Po(m),poisson_c,-0.290546074349048,-0.707424712823536,0.42
