ci,scenario,model,Coverage (%),CI width (%)
Analytical,NB(n)-NB(m),nb,91.85,178.582111035723
Analytical,NB(n)-NB(m),nb_c,91.4,181.223458771022
Analytical,NB(n)-NB(m),nls,89.1809908998989,4598.96731746969
Analytical,NB(n)-NB(m),ols,0,27.3116987363464
Analytical,NB(n)-NB(m),poisson,88.25,422.542214285366
Analytical,NB(n)-NB(m),poisson_c,87.95,420.366318521304
Analytical,NB(n)-Po(m),nb,91.85,34.6898314745496
Analytical,NB(n)-Po(m),nb_c,91.85,34.7326098538295
Analytical,NB(n)-Po(m),nls,94.3548387096774,78.9510615686075
Analytical,NB(n)-Po(m),ols,0,23.2139373657725
Analytical,NB(n)-Po(m),poisson,95.65,42.0762807331929
Analytical,NB(n)-Po(m),poisson_c,95.65,42.1213232944089
Analytical,Po(n)-NB(m),nb,92.85,178.80172346583
Analytical,Po(n)-NB(m),nb_c,92.75,181.545453826972
Analytical,Po(n)-NB(m),nls,84.6426761277243,3000.37859582012
Analytical,Po(n)-NB(m),ols,0.2,28.2238906854233
Analytical,Po(n)-NB(m),poisson,83.65,392.201660715334
Analytical,Po(n)-NB(m),poisson_c,83.791895947974,391.293932033286
Analytical,Po(n)-Po(m),nb,77.45,33.6645128502069
Analytical,Po(n)-Po(m),nb_c,93.1,34.746881898307
Analytical,Po(n)-Po(m),nls,92.9894842263395,84.7357860439048
Analytical,Po(n)-Po(m),ols,0,22.8845903198843
Analytical,Po(n)-Po(m),poisson,95.1,40.3023095127865
Analytical,Po(n)-Po(m),poisson_c,95.35,40.3999842934344
Bootstrap,NB(n)-NB(m),nb,93.3,190.001979700872
Bootstrap,NB(n)-NB(m),nb_c,93.05,190.484087058264
Bootstrap,NB(n)-NB(m),nls,65.9423951490652,1023.75763437174
Bootstrap,NB(n)-NB(m),ols,0,22.3044141470831
Bootstrap,NB(n)-NB(m),poisson,75.85,201.542243262953
Bootstrap,NB(n)-NB(m),poisson_c,75.45,200.496331051982
Bootstrap,NB(n)-Po(m),nb,92.7891837756635,36.0818682844409
Bootstrap,NB(n)-Po(m),nb_c,93.05,36.1852404151866
Bootstrap,NB(n)-Po(m),nls,82.6021180030257,40.7035198849413
Bootstrap,NB(n)-Po(m),ols,0,18.47382165476
Bootstrap,NB(n)-Po(m),poisson,92.75,35.5109087447775
Bootstrap,NB(n)-Po(m),poisson_c,92.3,35.620193086977
Bootstrap,Po(n)-NB(m),nb,93.6,185.848135109626
Bootstrap,Po(n)-NB(m),nb_c,93.55,185.624129644287
Bootstrap,Po(n)-NB(m),nls,60.7991906929691,670.697205876159
Bootstrap,Po(n)-NB(m),ols,0.05,24.0833341715881
Bootstrap,Po(n)-NB(m),poisson,71.75,193.596612776298
Bootstrap,Po(n)-NB(m),poisson_c,71.75,193.310863701165
Bootstrap,Po(n)-Po(m),nb,92.7963981990996,36.3963240587129
Bootstrap,Po(n)-Po(m),nb_c,92.6463231615808,35.691527817487
Bootstrap,Po(n)-Po(m),nls,87.2308462694041,51.9773758808749
Bootstrap,Po(n)-Po(m),ols,0,19.7284385667091
Bootstrap,Po(n)-Po(m),poisson,92.75,36.1192846284864
Bootstrap,Po(n)-Po(m),poisson_c,93.1,35.4775905674173
