scenario,model,Bias (%),Bias BC (%),Bias median (%),RMSE,Coverage (%),CI width (%),R_ok
NB(n)-NB(m),nb,-31.1087958509616,-39.0125467961795,,19603.7998854639,70.6153846153846,112.494353813005,1950
NB(n)-NB(m),nb_c,-31.1081113388887,-38.2328305103809,,19604.8253496616,70.9230769230769,113.447160601203,1950
NB(n)-NB(m),nls,-47.8849960335601,-53.3430923621926,,21494.2160913829,81.8461538461538,766.41780455603,1950
NB(n)-NB(m),ols,-33.9514728246938,-43.8678875923227,,20498.7767221524,74.3589743589744,127.158968550667,1950
NB(n)-NB(m),poisson,11.6441629544387,11.1744141706317,,103374.668772753,79.5897435897436,253.340492486945,1950
NB(n)-NB(m),poisson_c,11.435702177982,4998.06260318448,,101744.534398653,79.4871794871795,253.505896821879,1950
NB(n)-Po(m),nb,-39.9218963977161,-40.7489492184194,,21184.2133223966,40.9442724458204,57.7719904726846,1292
NB(n)-Po(m),nb_c,-39.9219178074702,-40.6552149790193,,21184.2790560406,41.1764705882353,57.8467852617127,1292
NB(n)-Po(m),nls,-34.4605268924276,-34.6559842369878,,8897.17154923076,56.5789473684211,66.6925169306072,1292
NB(n)-Po(m),ols,-21.8114861742848,-24.9018874201666,,12835.4162472997,82.9721362229102,82.389417702525,1292
NB(n)-Po(m),poisson,-31.6173907413123,-31.87092210799,,16643.2444861396,46.3622291021672,52.0554124218235,1292
NB(n)-Po(m),poisson_c,-31.6174267591231,-31.8356716901433,,16643.3804836938,46.5170278637771,52.1049679751961,1292
Po(n)-NB(m),nb,-15.7861723999098,-26.6236253307881,,20215.8501322897,82.6747720364742,144.098779661064,1974
Po(n)-NB(m),nb_c,-15.7869325574618,-25.3547486034769,,20218.9028872497,82.6747720364742,145.823980347102,1974
Po(n)-NB(m),nls,-32.856375892652,-47.8533356006022,,26257.7659726578,83.8660578386606,4587.24440172706,1971
Po(n)-NB(m),ols,-17.6003585035153,-30.5664609982099,,21170.7933364044,87.0820668693009,159.976161805271,1974
Po(n)-NB(m),poisson,155.029336467955,153.548975968653,,1368824.24967771,83.4346504559271,490.253416625538,1974
Po(n)-NB(m),poisson_c,103.28534946779,24749.5132386919,,218537.435410383,82.8267477203648,481.455926962819,1974
Po(n)-Po(m),nb,-2.12803095541972,-2.7652984963446,,7752.34255140488,93.5153583617747,47.4141478496437,1465
Po(n)-Po(m),nb_c,-2.12789254812234,-2.65210089905513,,7752.34540718429,93.4470989761092,47.5355056199642,1465
Po(n)-Po(m),nls,9.34336306730966,9.01538055694826,,3611.6700481663,92.1501706484642,86.2454089830976,1465
Po(n)-Po(m),ols,7.6846470927683,3.83094028986216,,11130.2392483036,96.1092150170649,115.990459443863,1465
Po(n)-Po(m),poisson,-0.434512448430015,-0.996693079327303,,7599.22531319769,95.6996587030717,54.1909268110877,1465
Po(n)-Po(m),poisson_c,-0.434487928471445,-0.894313493474641,,7599.21598427151,95.6996587030717,54.2815390060655,1465
