scenario,model,gamma_median,gamma_mean,gamma_q25,gamma_q75,gamma_q90,pct_boundary,pct_gt_01,n_ok
Po(n)-Po(m),nb,0.00603419807834056,0.120967937965268,0.00331132636192731,0.306271010331891,0.5,16.2,26.2,2000
Po(n)-Po(m),nb_c,0.00481129729657108,0.00834905226724601,0.00296769871951568,0.00761712085171274,0.0117856953031173,0.4,0.6,2000
Po(n)-Po(m),nls,0.00836149665181483,0.0714671287899524,0.000923319035513013,0.196251434781717,0.206417537393408,0.1,31.8,1997
Po(n)-Po(m),ols,0.0357510675435117,0.142163260947982,0.00994051144417983,0.286494234301211,0.499926686256414,17.8,27.7,2000
Po(n)-Po(m),poisson,0.00480697090057216,0.0072635780276825,0.00295931355310282,0.00757205732929409,0.0116375718937008,0,0.7,2000
Po(n)-Po(m),poisson_c,0.00480164454813906,0.00612154218994633,0.0029591391035441,0.00749816946418256,0.0115246088635104,0,0.1,2000
Po(n)-NB(m),nb,0.00446506162527264,0.0155075171484392,0.00171465228575896,0.0112088084672595,0.026541978671424,0.2,2.9,2000
Po(n)-NB(m),nb_c,0.00446375811849422,0.0155743695269387,0.00171473942229667,0.0112012085910803,0.0263939815696004,0.3,2.8,2000
Po(n)-NB(m),nls,0.277033172995415,0.238865349359563,0.0330822104211455,0.360235148768516,0.426138476510363,7.7,73,1980
Po(n)-NB(m),ols,0.0770945365145026,0.211203005987226,0.0213465170882481,0.452606513942724,0.499926686256414,24.1,46.4,2000
Po(n)-NB(m),poisson,0.00582321603447742,0.0618867409423527,0.00080244593474419,0.0419975020691996,0.248641645109705,0.9,20.9,2000
Po(n)-NB(m),poisson_c,0.00418609855314158,0.0479629140187423,0.000532533946756572,0.0223555606326147,0.186146652714689,2.5,12,2000
NB(n)-Po(m),nb,0.00504122750140851,0.00632994205276244,0.00413877227027824,0.00612959286226397,0.00757573279397446,0.1,0.2,2000
NB(n)-Po(m),nb_c,0.00503932170147946,0.00528831870718799,0.00414625323561788,0.00612986779364062,0.00756505604623452,0,0,2000
NB(n)-Po(m),nls,0.00500951887722745,0.00581483121430514,0.00380600968806248,0.00661908831119873,0.00892478731142135,0,0.1,1984
NB(n)-Po(m),ols,0.00702459650109583,0.015292855706749,0.00385854304600453,0.00994051144417983,0.0225626943052608,0.7,1.7,2000
NB(n)-Po(m),poisson,0.00504774668641118,0.00528580618876234,0.00415074568171733,0.00611032319861633,0.00753527376503537,0,0,2000
NB(n)-Po(m),poisson_c,0.00504786932155762,0.00528581500817644,0.00415024029302235,0.00611010779731399,0.00753527161617004,0,0,2000
NB(n)-NB(m),nb,0.00480743490274139,0.0111455738961666,0.00228611267655035,0.0101831195557627,0.0212646246964455,0.1,1.2,2000
NB(n)-NB(m),nb_c,0.00480713923001164,0.0112752300882661,0.00228587833305344,0.0101874954430447,0.0212633347540304,0.1,1.2,2000
NB(n)-NB(m),nls,0.0385662873621439,0.165227632392768,0.000734298728876768,0.355844904655479,0.365184491576312,3.8,45.3,1979
NB(n)-NB(m),ols,0.00994051144417983,0.0678133472718194,0.0043894493644582,0.0322201000402758,0.324555994343528,6.2,13.8,2000
NB(n)-NB(m),poisson,0.00382084314138633,0.0544674126119997,0.000766556579542852,0.0234062165086531,0.332335936968803,0.7,14.2,2000
NB(n)-NB(m),poisson_c,0.00390419028895012,0.0581296516428044,0.000793814738052586,0.0241343205561058,0.346215308490332,1.9,14.4,2000
