scenario,model,Bias (%),Bias BC (%),Bias median (%),RMSE,Coverage (%),CI width (%),R_ok
NB(n)-NB(m),nb,10.9098999758207,-0.638379081259073,10.0249709191149,24405.4001835708,93.3,190.001979700872,2000
NB(n)-NB(m),nb_c,10.9113105104713,1.2043316470143,10.0488198998628,24418.3192629724,93.05,190.484087058264,2000
NB(n)-NB(m),nls,1.87688576010999e+165,1.87688576010166e+165,2.96790561625653e+82,Inf,65.9423951490652,1023.75763437174,1979
NB(n)-NB(m),ols,-80.5381521237345,-81.633930399019,-80.8258617349731,35348.3379383845,0,22.3044141470831,2000
NB(n)-NB(m),poisson,70.6476450731497,69.7731078607662,56.531053400904,144046.414628819,75.85,201.542243262953,2000
NB(n)-NB(m),poisson_c,66.3736043066635,74.7731603701014,55.3930687289447,117479.46998411,75.45,200.496331051982,2000
NB(n)-Po(m),nb,0.848998779397844,0.306527837652026,0.866773937745074,4411.50841972602,92.7891837756635,36.0818682844409,2000
NB(n)-Po(m),nb_c,0.86357275099904,0.424486868178303,0.849490167390994,4417.9816806394,93.05,36.1852404151866,2000
NB(n)-Po(m),nls,2.55968411344338,2.31366520052489,2.33274465306991,7345.69039228862,82.6021180030257,40.7035198849413,1984
NB(n)-Po(m),ols,-75.150825568894,-75.7456904834257,-75.3048541952898,32577.4875337078,0,18.47382165476,2000
NB(n)-Po(m),poisson,0.825220156049824,0.314713793645635,0.834410720446466,4391.96107469091,92.75,35.5109087447775,2000
NB(n)-Po(m),poisson_c,0.825234665577337,0.410694573023758,0.830513705466946,4392.06070772841,92.3,35.620193086977,2000
Po(n)-NB(m),nb,6.89871695506323,-4.65906525907405,5.4450392902367,20226.1989582085,93.6,185.848135109626,2000
Po(n)-NB(m),nb_c,6.88925594288188,-2.94634389853942,5.39967309011406,20222.1245354328,93.55,185.624129644287,2000
Po(n)-NB(m),nls,7.99000680357638e+132,7.99000680357636e+132,4.11157332714011e+128,9.90044216380215e+136,60.7991906929691,670.697205876159,1980
Po(n)-NB(m),ols,-77.9076724114486,-78.9876311692295,-78.3177094049104,33975.0292515787,0.05,24.0833341715881,2000
Po(n)-NB(m),poisson,77.82171278759,76.2501381419773,53.5385252248211,534915.834523202,71.75,193.596612776298,2000
Po(n)-NB(m),poisson_c,63.5431115095197,64.4439832699328,50.2470108787867,165646.51667913,71.75,193.310863701165,2000
Po(n)-Po(m),nb,-3.9135178501977,-4.41737977440187,-0.602920368949279,9075.56293768011,92.7963981990996,36.3963240587129,2000
Po(n)-Po(m),nb_c,-0.305969531133542,-0.738806271191501,-0.559874683220872,3464.70423748139,92.6463231615808,35.691527817487,2000
Po(n)-Po(m),nls,-3.15095498804958,-3.66032431574191,-3.71101025379272,10641.0727110135,87.2308462694041,51.9773758808749,1997
Po(n)-Po(m),ols,-70.3448288961942,-70.874016689557,-70.6955532962936,31599.8755674059,0,19.7284385667091,2000
Po(n)-Po(m),poisson,-0.396254301066323,-0.906926936020648,-0.672410337841087,3898.88246983185,92.75,36.1192846284864,2000
Po(n)-Po(m),poisson_c,-0.290546074349048,-0.707424712823536,-0.601066104155833,3412.77532064596,93.1,35.4775905674173,2000
