ci,scenario,model,Coverage (%),CI width (%)
Analytical,NB(n)-NB(m),nb_c,90.7692307692308,75.5263457736712
Analytical,NB(n)-NB(m),nb_twostage,74.6600741656366,65.6306085067587
Analytical,NB(n)-NB(m),nls,91.9387755102041,10078.5083665052
Analytical,NB(n)-NB(m),ols,0,7.69980084815801
Analytical,NB(n)-NB(m),poisson_c,60.9090909090909,113.526482327374
Analytical,NB(n)-NB(m),poisson_uc,98.4,243.559361826057
Analytical,NB(n)-Po(m),nb_c,87.5392670157068,18.9223903042391
Analytical,NB(n)-Po(m),nb_twostage,82.7503015681544,18.4847275463752
Analytical,NB(n)-Po(m),nls,99.7995991983968,39.1268051847343
Analytical,NB(n)-Po(m),ols,0,7.09736108686986
Analytical,NB(n)-Po(m),poisson_c,91.0020449897751,19.4456401466643
Analytical,NB(n)-Po(m),poisson_uc,99.4,18.5382967042962
Analytical,Po(n)-NB(m),nb_c,89.5010395010395,78.6584961115824
Analytical,Po(n)-NB(m),nb_twostage,80.5115712545676,69.8872911999439
Analytical,Po(n)-NB(m),nls,88.8776541961577,4494.26229947774
Analytical,Po(n)-NB(m),ols,0,8.43772794563299
Analytical,Po(n)-NB(m),poisson_c,51.340206185567,87.3935231387555
Analytical,Po(n)-NB(m),poisson_uc,98.3,244.325043824556
Analytical,Po(n)-Po(m),nb_c,96.7914438502674,19.504679417717
Analytical,Po(n)-Po(m),nb_twostage,50.3259452411995,15.170536574823
Analytical,Po(n)-Po(m),nls,75.4,41.4002257003298
Analytical,Po(n)-Po(m),ols,0,7.80414297020524
Analytical,Po(n)-Po(m),poisson_c,96.529284164859,19.6477465059787
Analytical,Po(n)-Po(m),poisson_uc,99.5,19.9735966450196
Bootstrap,NB(n)-NB(m),nb_c,99.2576882290562,1245.25019623842
Bootstrap,NB(n)-NB(m),nb_twostage,96.0998439937597,1247.07822297887
Bootstrap,NB(n)-NB(m),nls,81.2688821752266,3379.72251469473
Bootstrap,NB(n)-NB(m),ols,0,10.7898305230888
Bootstrap,NB(n)-NB(m),poisson_c,89.8989898989899,151.280101448482
Bootstrap,NB(n)-NB(m),poisson_uc,90.4,126.708391797114
Bootstrap,NB(n)-Po(m),nb_c,84.0958605664488,108.459933751304
Bootstrap,NB(n)-Po(m),nb_twostage,93.9606741573034,812.881169176361
Bootstrap,NB(n)-Po(m),nls,95.4909819639279,21.8392012435167
Bootstrap,NB(n)-Po(m),ols,0,12.5700859599172
Bootstrap,NB(n)-Po(m),poisson_c,98.6707566462168,91.3050714659459
Bootstrap,NB(n)-Po(m),poisson_uc,99.1,16.7783342202487
Bootstrap,Po(n)-NB(m),nb_c,99.3456924754635,1270.11459590217
Bootstrap,Po(n)-NB(m),nb_twostage,96.9208211143695,1235.88094878349
Bootstrap,Po(n)-NB(m),nls,82.7482447342026,1849.20438802738
Bootstrap,Po(n)-NB(m),ols,0,12.450383974795
Bootstrap,Po(n)-NB(m),poisson_c,84.5679012345679,140.307173343444
Bootstrap,Po(n)-NB(m),poisson_uc,90.7,113.073180839726
Bootstrap,Po(n)-Po(m),nb_c,90.185387131952,97.6279551937672
Bootstrap,Po(n)-Po(m),nb_twostage,74.4386873920553,1035.11991289053
Bootstrap,Po(n)-Po(m),nls,89.1,34.1171039050026
Bootstrap,Po(n)-Po(m),ols,0,14.9437997385349
Bootstrap,Po(n)-Po(m),poisson_c,97.8308026030369,90.6841209081426
Bootstrap,Po(n)-Po(m),poisson_uc,99.6,18.7347675202104
