scenario,model,Bias (%),Bias BC (%),Bias median (%),RMSE,Coverage (%),CI width (%),Alpha intercept bias,Alpha year bias,Alpha sex bias,Gamma bias,R_ok,AIC_mean,BIC_mean
NB(n)-NB(m),nb_c,172.143503551359,169.651399688632,8.63959825423874,3225789.82806491,99.2576882290562,1245.25019623842,1.65931686491178,0.431137859663403,0.784810586219277,0.00917637795894231,975,6220.43917488282,6261.15978956903
NB(n)-NB(m),nb_twostage,222.408758822223,220.034222921964,17.0414651128498,2874854.39929376,96.0998439937597,1247.07822297887,2.24223753167183,0.569739616685608,1.05441790870515,0.00295149915818115,809,6264.49505588203,6300.12559373246
NB(n)-NB(m),nls,2.03638488100193e+114,2.00305482807706e+114,2.47030543529058e+89,6.69123514775859e+119,81.2688821752266,3379.72251469473,0.124751767793511,0.00719118327405831,0.0216809166203545,0.0686645667660149,993,,
NB(n)-NB(m),ols,-87.1881439547904,-87.3180499315034,-87.341669504685,363906.63432687,0,10.7898305230888,-0.256426835438778,0.00544113658495787,0.0220397750260363,0.00378909405329332,1000,,
NB(n)-NB(m),poisson_c,-26.0630689998939,-26.1277236384863,-36.5564732885097,296392.725959199,89.8989898989899,151.280101448482,0.06197323678549,-0.0663272000316037,0.0402480710535706,0.118820665134963,990,23654.8977319161,23690.5282697665
NB(n)-NB(m),poisson_uc,23.7349485735177,23.5902577354574,16.1289549805986,2128581.15637189,90.4,126.708391797114,-0.0045320324061358,0.000612919696800811,5.51801445271036e-05,0.00606924244691437,1000,19488.3805740721,19524.0111119225
NB(n)-Po(m),nb_c,309.18653607818,308.666181908415,206.941283082419,5734490.40791739,84.0958605664488,108.459933751304,2.73877131043174,0.866265035334863,1.25732833839225,0.00950309080622988,955,5118.26791203313,5158.98852671933
NB(n)-Po(m),nb_twostage,497.621596610303,496.814927391712,350.806946278211,4066943.46213394,93.9606741573034,812.881169176361,4.39737379706633,1.49194245304398,1.95331001956654,3.07372467176701e-05,829,5344.62680327192,5380.25734112236
NB(n)-Po(m),nls,0.787210503100902,0.746512231216327,0.628422189451636,31688.7346131631,95.4909819639279,21.8392012435167,0.000613673270090883,6.51954974263399e-05,-0.000515646529530558,7.90403457825943e-05,998,,
NB(n)-Po(m),ols,-83.5642092594062,-83.6449728346724,-83.7036187102322,350562.691168263,0,12.5700859599172,-0.225054750819651,0.00531344063745433,0.0198309385397562,-0.00198955695560688,1000,,
NB(n)-Po(m),poisson_c,-8.26657079957876,-8.36614849804683,-5.78581153614715,209035.226732528,98.6707566462168,91.3050714659459,0.283849105553612,-0.0715000599733061,0.159262705942122,0.031790012828822,978,5843.37924264093,5879.00978049136
NB(n)-Po(m),poisson_uc,0.113012624062312,-0.00470433736676345,0.114938241350984,9649.78198657502,99.1,16.7783342202487,-0.000184644720462739,4.95011905100229e-05,0.000119657228184118,2.43572801877557e-05,1000,4821.66261031363,4857.29314816406
Po(n)-NB(m),nb_c,174.988917283446,172.403041411139,9.69744701932875,10144838.9455378,99.3456924754635,1270.11459590217,1.56755266989166,0.381719169857173,0.760120606685954,0.0118304266605951,962,6302.52271715686,6343.24333184307
Po(n)-NB(m),nb_twostage,208.364741956749,205.604901913769,9.51651296521516,9234713.98817781,96.9208211143695,1235.88094878349,1.98448879854357,0.48802218780271,0.921388038665581,0.00974414717127089,821,6340.72759074406,6376.3581285945
Po(n)-NB(m),nls,1.13313819125306e+91,-5.44681136355522e+93,5.85796724055546e+111,2.45161473225624e+96,82.7482447342026,1849.20438802738,0.110860739071621,0.00898175310168638,-0.00940537550142404,0.187475846547837,997,,
Po(n)-NB(m),ols,-84.5595830721789,-84.7029595782896,-84.8448988620763,354713.824446273,0,12.450383974795,-0.238787770828534,0.004708971804823,0.0299968179718079,0.230214863153473,1000,,
Po(n)-NB(m),poisson_c,-31.8777370718361,-31.9373871871785,-42.1212367402119,453171.055112919,84.5679012345679,140.307173343444,-0.0290468197802879,-0.0622662810968681,0.0522803697687099,0.131598390329979,972,23546.6354801055,23582.2660179559
Po(n)-NB(m),poisson_uc,10.8695381920726,10.7117256595995,7.79518360819412,240092.116074896,90.7,113.073180839726,-0.00573313352557244,0.000710593342081373,-0.00337896360057982,0.0209143492389214,1000,20267.5892704731,20303.2198083235
Po(n)-Po(m),nb_c,8.25227695424696,8.10861493749117,50.6776085553683,438389.421449441,90.185387131952,97.6279551937672,0.451269783376472,-0.0355210633733216,0.212758236993801,0.0210013996965408,935,4911.65526385117,4952.37587853738
Po(n)-Po(m),nb_twostage,1119.89684266652,1118.82584881234,994.897591961669,5175433.22755613,74.4386873920553,1035.11991289053,10.4059626584574,4.00843403823319,4.9037704695001,0.000203565171212906,767,5998.0415271396,6033.67206499004
Po(n)-Po(m),nls,-7.33113109466682,-7.41479669653804,-6.71138170848953,90816.6295924509,89.1,34.1171039050026,-0.00761462378884503,0.000206509245532162,-0.00129208648592783,0.0803488582862175,1000,,
Po(n)-Po(m),ols,-80.1581982121271,-80.2471290939312,-80.3703917342692,336908.007819316,0,14.9437997385349,-0.207014964506279,0.00458999648122377,0.0269038973689243,0.0767807426045702,1000,,
Po(n)-Po(m),poisson_c,-4.06745021201702,-4.18393777804766,-2.11344850715732,185751.600386022,97.8308026030369,90.6841209081426,0.324858443081693,-0.0718345325714823,0.166973455879425,0.010771690205136,922,5204.71600950761,5240.34654735804
Po(n)-Po(m),poisson_uc,0.291904049773547,0.153994960802111,0.337691999977668,50161.8607992974,99.6,18.7347675202104,0.000487245972085583,-5.59084499032975e-05,-0.000198624732876671,0.000864599150724326,1000,4875.56236067167,4911.19289852211
